Код БТИ;Улица;Дом;Нет информации на вкладе ТЭ;Раздвоение во вкладке ТЭ;Колич. этажей < 1;Колич. парадных < 1;Колич. квартир < 1;Общ. площадь < 50;Отаплив. площадь < 50;Жил. площадь < 50;Общ. площадь < Отаплив. площади;Общ. площадь не = (жил. + нежил.)
129324;'ГРИБОЕДОВА наб.канала';142;;;;;;;;;;Да
129326;'ГРИБОЕДОВА наб.канала';152;;;;;;;;;;Да
129327;'ГРИБОЕДОВА наб.канала';154;;;;;;;;;;Да
129329;'ГРИБОЕДОВА наб.канала';158;;;;;;;;;;Да
129330;'ГРИБОЕДОВА наб.канала';162;;;;;;;;;;Да
129331;'ГРИБОЕДОВА наб.канала';164;;;;;;;;;;Да
129332;'ГРИБОЕДОВА наб.канала';168;;;;;;;;;;Да
129333;'ГРИБОЕДОВА наб.канала';170;;;;;;;;;;Да
129334;'ГРИБОЕДОВА наб.канала';170;;;;;;;;;;Да
129335;'ГРИБОЕДОВА наб.канала';170;;;;;;;;;;Да
129336;'ГРИБОЕДОВА наб.канала';174;;;;;Да;;Да;Да;;
129337;'ДЕКАБРИСТОВ ул.';29;;;;;;;;;;Да
129338;'ДЕКАБРИСТОВ ул.';29;;;;;;;;;;Да
129339;'ДЕКАБРИСТОВ ул.';29;;;;;;;;;;Да
129340;'ДЕКАБРИСТОВ ул.';31;;;;;;;;;;Да
129341;'ДЕКАБРИСТОВ ул.';33;;;;;;;;;;Да
129342;'ДЕКАБРИСТОВ ул.';33;;;;;;;;;;Да
129343;'ДЕКАБРИСТОВ ул.';'36/1';;;;;;;;;;Да
129344;'ДЕКАБРИСТОВ ул.';37;;;;;;;;;;Да
129345;'ДЕКАБРИСТОВ ул.';37;;;;;;;;;;Да
129346;'ДЕКАБРИСТОВ ул.';39;;;;;;;;;;Да
129347;'ДЕКАБРИСТОВ ул.';41;;;;;;;;;;Да
129348;'ДЕКАБРИСТОВ ул.';'43-45';;;;;;;;;;Да
129349;'ДЕКАБРИСТОВ ул.';'43-45';;;;;;;;;;Да
129350;'ДЕКАБРИСТОВ ул.';46;;;;;;;;;;Да
129351;'ДЕКАБРИСТОВ ул.';48;;;;;;;;;;Да
129352;'ДЕКАБРИСТОВ ул.';50;;;;;;;;;;Да
129353;'ДЕКАБРИСТОВ ул.';51;;;;;;;;;;Да
129354;'ДЕКАБРИСТОВ ул.';51;;;;;;;;;;Да
129355;'ДЕКАБРИСТОВ ул.';52;;;;;;;;;;Да
129356;'ДЕКАБРИСТОВ ул.';54;;;;;;;;;;Да
129357;'ДЕКАБРИСТОВ ул.';54;;;;;;;;;;Да
129358;'ДЕКАБРИСТОВ ул.';56;;;;;;;;;;Да
129359;'ДЕКАБРИСТОВ ул.';56;;;;;;;;;;Да
129360;'ДЕКАБРИСТОВ ул.';57;;;;;;;;;;Да
129361;'ДЕКАБРИСТОВ ул.';58;;;;;;;;;;Да
129362;'ДЕКАБРИСТОВ ул.';'62-64';;;;;;;;;;Да
129364;'ДЕРПТСКИЙ пер.';14;;;;;;;;;;Да
129365;'ДЕРПТСКИЙ пер.';15;;;;;;;;;;Да
'01-0110';'Дойникоа пер.';'4-6';;;;;;;;;;Да
'01-0111';'Дойникоа пер.';'5/7';;;;;;;;;;Да
129366;'ДРОВЯНАЯ ул.';6;;;;;;;;;;Да
129367;'ДРОВЯНАЯ ул.';8;;;;;;;;;;Да
129368;'ДРОВЯНОЙ пер.';10;;;;;;;;;;Да
129369;'ДРОВЯНОЙ пер.';12;;;;;;;;;;Да
129370;'ДРОВЯНОЙ пер.';14;;;;;;;;;;Да
129372;'ДРОВЯНОЙ пер.';20;;;;;;;;;;Да
129373;'ДРОВЯНОЙ пер.';20;;;;;;;;;;Да
129374;'ДРОВЯНОЙ пер.';22;;;;;;;;;;Да
129376;'ДРОВЯНОЙ пер.';3;;;;;;;;;;Да
129377;'ДРОВЯНОЙ пер.';4;;;;;;;;;;Да
129378;'ДРОВЯНОЙ пер.';7;;;;;;;;;;Да
129379;'ДРОВЯНОЙ пер.';8;;;;;;;;;;Да
129381;'ДРОВЯНОЙ пер.';'9/79';;;;;;;;;;Да
129382;'ЕГОРОВА ул.';18;;;;;;;;;;Да
129383;'ЕГОРОВА ул.';28;;;;;;;;;;Да
'01-0113';'Загородный пр.';43;;;;;;;;;;Да
'01-0114';'Загородный пр.';64;;;;;;;;;;Да
129385;'ИЗМАЙЛОВСКИЙ пр.';1;;;;;;;;;;Да
129386;'ИЗМАЙЛОВСКИЙ пр.';11;;;;;;;;;;Да
129387;'ИЗМАЙЛОВСКИЙ пр.';18;;;;;;;;;;Да
129388;'ИЗМАЙЛОВСКИЙ пр.';18;;;;;Да;Да;Да;Да;;
129390;'ИЗМАЙЛОВСКИЙ пр.';18;;;;;Да;;Да;Да;;
129392;'ИЗМАЙЛОВСКИЙ пр.';18;;;;;Да;;Да;Да;;
129393;'ИЗМАЙЛОВСКИЙ пр.';19;;;;;;;;;;Да
129394;'ИЗМАЙЛОВСКИЙ пр.';2;;;;;Да;;Да;Да;;
129395;'ИЗМАЙЛОВСКИЙ пр.';20;;;;;;;;;;Да
129397;'ИЗМАЙЛОВСКИЙ пр.';20;;;;;Да;;Да;Да;;
129398;'ИЗМАЙЛОВСКИЙ пр.';22;;;;;;;;;;Да
129399;'ИЗМАЙЛОВСКИЙ пр.';22;;;;;;;Да;Да;;
129400;'ИЗМАЙЛОВСКИЙ пр.';23;;;;;;;;;;Да
129401;'ИЗМАЙЛОВСКИЙ пр.';25;;;;;;;;;;Да
129402;'ИЗМАЙЛОВСКИЙ пр.';3;;;;;;;;;;Да
129403;'ИЗМАЙЛОВСКИЙ пр.';31;;;;;;;;;;Да
129404;'ИЗМАЙЛОВСКИЙ пр.';31;;;;;;;;;;Да
129405;'ИЗМАЙЛОВСКИЙ пр.';5;;;;;;;;;;Да
129406;'ИЗМАЙЛОВСКИЙ пр.';7;;;;;;;;;;Да
129407;'ИЗМАЙЛОВСКИЙ пр.';7;;;;;;;;;;Да
129408;'КАЛИНКИН пер.';4;;;;;;;;;;Да
129409;'КАНОНЕРСКАЯ ул.';'11/8';;;;;;;;;;Да
129410;'КАНОНЕРСКАЯ ул.';14;;;;;;;;;;Да
129411;'КАНОНЕРСКАЯ ул.';17;;;;;;;;;;Да
129412;'КАНОНЕРСКАЯ ул.';'19-21';;;;;;;;;;Да
129413;'КАНОНЕРСКАЯ ул.';27;;;;;;;;;;Да
129414;'КАНОНЕРСКАЯ ул.';29;;;;;;;;;;Да
129415;'КАНОНЕРСКАЯ ул.';29;;;;;;;;;;Да
129416;'КАНОНЕРСКАЯ ул.';3;;;;;;;;;;Да
129417;'КАНОНЕРСКАЯ ул.';31;;;;;;;;;;Да
129418;'КАНОНЕРСКАЯ ул.';4;;;;;;;;;;Да
129419;'КАНОНЕРСКАЯ ул.';4;;;;;;;;;;Да
129420;'КАНОНЕРСКАЯ ул.';5;;;;;;;;;;Да
129421;'КАНОНЕРСКАЯ ул.';'7-9';;;;;;;;;;Да
129422;'КАНОНЕРСКАЯ ул.';'7-9';;;;;;;;;;Да
129424;'КЛИМОВ пер.';3;;;;;;;;;;Да
129425;'КЛИМОВ пер.';4;;;;;;;;;;Да
129426;'КЛИМОВ пер.';5;;;;;;;;;;Да
129427;'КЛИМОВ пер.';7;;;;;;;;;;Да
129429;'КЛИМОВ пер.';8;;;;;;;;;;Да
129430;'КЛИМОВ пер.';9;;;;;;;;;;Да
'01-0116';'Клинский пр.';21;;;;;;;;;;Да
'01-0117';'Клинский пр.';23;;;;;;;;;;Да
'01-0118';'Клинский пр.';'26/2';;;;;;;;;Да;Да
'01-0115';'Клинский пр.';8;;;;;;;;;;Да
129431;'КОННОГВАРДЕЙСКИЙ бульвар';11;;;;;;;;;;Да
129432;'КОННОГВАРДЕЙСКИЙ бульвар';9;;;;;;;;;;Да
129433;'КОННОГВАРДЕЙСКИЙ бульвар';9;;;;;;;;;;Да
129434;'КОННОГВАРДЕЙСКИЙ пер.';6;;;;;;;;;;Да
129435;'КРАСУЦКОГО ул.';2;;;;;;;;;;Да
129436;'КРЮКОВА наб.канала';15;;;;;;;;;;Да
129437;'КРЮКОВА наб.канала';17;;;;;;;;;;Да
129438;'КРЮКОВА наб.канала';19;;;;;;;;;;Да
129439;'КРЮКОВА наб.канала';23;;;;;;;;;;Да
129441;'КРЮКОВА наб.канала';31;;;;;;;;;;Да
129442;'КРЮКОВА наб.канала';'7/2';;;;;;;;;;Да
129443;'КРЮКОВА наб.канала';9;;;;;;;;;;Да
129444;'КУРЛЯНДСКАЯ ул.';4;;;;;;;;;;Да
129445;'КУРЛЯНДСКАЯ ул.';8;;;;;;;;;;Да
129446;'КУРЛЯНДСКАЯ ул.';8;;;;;;;;;;Да
129449;'ЛАБУТИНА ул.';12;;;;;;;;;;Да
129451;'ЛАБУТИНА ул.';13;;;;;;;;;;Да
129454;'ЛАБУТИНА ул.';16;;;;;;;;;;Да
129455;'ЛАБУТИНА ул.';16;;;;;;;;;;Да
129457;'ЛАБУТИНА ул.';'20-22';;;;;;;;;;Да
129458;'ЛАБУТИНА ул.';'20-22';;;;;;;;;;Да
129459;'ЛАБУТИНА ул.';3;;;;;;;;;;Да
129460;'ЛАБУТИНА ул.';30;;;;;;;;;;Да
129462;'ЛАБУТИНА ул.';36;;;;;;;;;;Да
129463;'ЛАБУТИНА ул.';36;;;;;;;;;;Да
129464;'ЛАБУТИНА ул.';'4/2';;;;;;;;;;Да
129466;'ЛАБУТИНА ул.';8;;;;;;;;;;Да
129467;'ЛЕРМОНТОВСКИЙ пр.';'10/53';;;;;;;;;;Да
129468;'ЛЕРМОНТОВСКИЙ пр.';12;;;;;;;;;;Да
129471;'ЛЕРМОНТОВСКИЙ пр.';17;;;;;;;;;;Да
129472;'ЛЕРМОНТОВСКИЙ пр.';18;;;;;;;;;;Да
129473;'ЛЕРМОНТОВСКИЙ пр.';20;;;;;;;;;;Да
129474;'ЛЕРМОНТОВСКИЙ пр.';22;;;;;;;;;;Да
129475;'ЛЕРМОНТОВСКИЙ пр.';23;;;;;;;;;;Да
129476;'ЛЕРМОНТОВСКИЙ пр.';23;;;;;;;;;;Да
129477;'ЛЕРМОНТОВСКИЙ пр.';24;;;;;;;;;;Да
129478;'ЛЕРМОНТОВСКИЙ пр.';26;;;;;;;;;;Да
129479;'ЛЕРМОНТОВСКИЙ пр.';27;;;;;Да;;;;;Да
129480;'ЛЕРМОНТОВСКИЙ пр.';28;;;;;;;;;;Да
129481;'ЛЕРМОНТОВСКИЙ пр.';29;;;;;;;;;;Да
129482;'ЛЕРМОНТОВСКИЙ пр.';3;;;;;;;;;;Да
129483;'ЛЕРМОНТОВСКИЙ пр.';3;;;;;Да;Да;Да;Да;;
129484;'ЛЕРМОНТОВСКИЙ пр.';3;;;;;;;;;;Да
129485;'ЛЕРМОНТОВСКИЙ пр.';30;;;;;;;;;;Да
129486;'ЛЕРМОНТОВСКИЙ пр.';31;;;;;;;;;;Да
129487;'ЛЕРМОНТОВСКИЙ пр.';33;;;;;;;;;;Да
129488;'ЛЕРМОНТОВСКИЙ пр.';35;;;;;;;;;;Да
129489;'ЛЕРМОНТОВСКИЙ пр.';37;;;;;;;;;;Да
129490;'ЛЕРМОНТОВСКИЙ пр.';4;;;;;;;;;;Да
129491;'ЛЕРМОНТОВСКИЙ пр.';'40-42';;;;;;;;;;Да
129492;'ЛЕРМОНТОВСКИЙ пр.';'40-42';;;;;;;;;;Да
129494;'ЛЕРМОНТОВСКИЙ пр.';'40-42';;;;;Да;Да;Да;Да;;
129495;'ЛЕРМОНТОВСКИЙ пр.';48;;;;;;;;;;Да
129496;'ЛЕРМОНТОВСКИЙ пр.';49;;;;;;;;;;Да
129498;'ЛЕРМОНТОВСКИЙ пр.';50;;;;;;;;;;Да
129497;'ЛЕРМОНТОВСКИЙ пр.';'5/11';;;;;;;;;;Да
129499;'ЛЕРМОНТОВСКИЙ пр.';55;;;;;;;;;;Да
129500;'ЛЕРМОНТОВСКИЙ пр.';'7/12';;;;;;;;;;Да
129501;'ЛЕРМОНТОВСКИЙ пр.';8;;;;;;;;;;Да
129502;'ЛЕРМОНТОВСКИЙ пр.';'8/10а';;;;;;;;;;Да
129503;'ЛЕРМОНТОВСКИЙ пр.';'9/55';;;;;;;;;;Да
129504;'ЛОДЫГИНА пер.';'9/7';;;;;;;;;;Да
129505;'ЛЮБЛИНСКИЙ пер.';'1/3';;;;;;;;;;Да
129506;'ЛЮБЛИНСКИЙ пер.';'2/5';;;;;;;;;;Да
129509;'ЛЮБЛИНСКИЙ пер.';4;;;;;;;;;;Да
129510;'ЛЮБЛИНСКИЙ пер.';7;;;;;;;;;;Да
129511;'ЛЮБЛИНСКИЙ пер.';7;;;;;;;;;;Да
129513;'МАКАРЕНКО пер.';10;;;;;;;;;;Да
129514;'МАКАРЕНКО пер.';11;;;;;;;;;;Да
129515;'МАКАРЕНКО пер.';13;;;;;;;;;;Да
129516;'МАКАРЕНКО пер.';'15/147';;;;;;;;;;Да
129517;'МАКАРЕНКО пер.';3;;;;;;;;;;Да
129519;'МАКАРЕНКО пер.';'6-8';;;;;;;;;;Да
129520;'МАКАРЕНКО пер.';7;;;;;;;;;;Да
129521;'МАКАРЕНКО пер.';9;;;;;;;;;;Да
'01-0119';'Малодетскосельский пр.';'22/29';;;;;;;;;;Да
'01-0120';'Малодетскосельский пр.';26;;;;;;;;;;Да
'01-0121';'Малодетскосельский пр.';28;;;;;;;;;;Да
'01-0123';'Малодетскосельский пр.';30;;;;;;;;;;Да
'01-0124';'Малодетскосельский пр.';31;;;;;;;;;;Да
'01-0125';'Малодетскосельский пр.';32;;;;;;;;;;Да
'01-0126';'Малодетскосельский пр.';34;;;;;;;;;;Да
'01-0127';'Малодетскосельский пр.';36;;;;;;;;;;Да
'01-0128';'Малодетскосельский пр.';38;;;;;;;;;;Да
'01-0130';'Малодетскосельский пр.';38;;;;;;;;;;Да
'01-0131';'Малодетскосельский пр.';38;;;;;;;;;;Да
129522;'МАСТЕРСКАЯ ул.';3;;;;;;;;;;Да
129512;'М.МОРСКАЯ ул.';19;;;;;;;;;;Да
'01-0138';'Можайская ул.';10;;;;;;;;;;Да
'01-0139';'Можайская ул.';11;;;;;;;;;;Да
'01-0140';'Можайская ул.';12;;;;;;;;;;Да
'01-0141';'Можайская ул.';13;;;;;;;;;;Да
'01-0142';'Можайская ул.';14;;;;;;;;;;Да
'01-0144';'Можайская ул.';15;;;;;;;;;;Да
'01-0132';'Можайская ул.';2;;;;;;;;;;Да
'01-0147';'Можайская ул.';28;;;;;;;;;;Да
'01-0148';'Можайская ул.';28;;;;;;;;;;Да
'01-0149';'Можайская ул.';29;;;;;;;;;;Да
'01-0150';'Можайская ул.';30;;;;;;;;;;Да
'01-0152';'Можайская ул.';31;;;;;;;;;;Да
'01-0153';'Можайская ул.';33;;;;;;;;;;Да
'01-0154';'Можайская ул.';34;;;;;;;;;;Да
'01-0133';'Можайская ул.';'3/5';;;;;;;;;;Да
'01-0156';'Можайская ул.';'37-39';;;;;;;;;;Да
'01-0157';'Можайская ул.';40;;;;;;;;;;Да
'01-0158';'Можайская ул.';41;;;;;;;;;;Да
'01-0159';'Можайская ул.';42;;;;;;;;;;Да
'01-0160';'Можайская ул.';43;;;;;;;;;;Да
'01-0162';'Можайская ул.';45;;;;;;;;;;Да
'01-0136';'Можайская ул.';8;;;;;;;;;;Да
'01-0137';'Можайская ул.';9;;;;;;;;;;Да
129524;'МОЙКИ наб.реки';104;;;;;;;;;;Да
129525;'МОЙКИ наб.реки';110;;;;;;;;;;Да
129527;'МОЙКИ наб.реки';112;;;;;;;;;;Да
'01-0163';'Московский пр.';18;;;;;;;;;;Да
'01-0164';'Московский пр.';18;;;;;;;;;;Да
'01-0165';'Московский пр.';20;;;;;;;;;;Да
'01-0166';'Московский пр.';32;;;;;;;;;;Да
'01-0167';'Московский пр.';32;;;;;;;;;;Да
'01-0168';'Московский пр.';34;;;;;;;;;;Да
'01-0169';'Московский пр.';36;;;;;;;;;;Да
'01-0170';'Московский пр.';38;;;;;;;;;;Да
'01-0171';'Московский пр.';40;;;;;;;;;;Да
'01-0172';'Московский пр.';'42/27';;;;;;;;;;Да
'01-0173';'Московский пр.';'42/27';;;;;;;;Да;;
'01-0174';'Московский пр.';'48/33';;;;;;;;;;Да
'01-0175';'Московский пр.';'50/42';;;;;;;;;;Да
'01-0176';'Московский пр.';54;;;;;;;;;;Да
129528;'МОСКОВСКИЙ пр.';'37/1';;;;;;;;;;Да
129529;'МОСКОВСКИЙ пр.';45;;;;;;;;;;Да
129530;'МОСКОВСКИЙ пр.';45;;;;;;;;;;Да
129531;'МОСКОВСКИЙ пр.';45;;;;;;;;;;Да
129532;'МОСКОВСКИЙ пр.';47;;;;;;;;;;Да
129533;'МОСКОВСКИЙ пр.';49;;;;;;;;;;Да
129534;'МОСКОВСКИЙ пр.';49;;;;;;;;;;Да
129535;'МОСКОВСКИЙ пр.';49;;;;;;;;;;Да
129536;'МОСКОВСКИЙ пр.';51;;;;;;;;;;Да
129537;'МОСКОВСКИЙ пр.';53;;;;;;;;;;Да
129538;'МОСКОВСКИЙ пр.';57;;;;;;;;;;Да
129539;'МОСКОВСКИЙ пр.';57;;;;;;;;;;Да
129540;'МОСКОВСКИЙ пр.';59;;;;;;;;;;Да
129541;'МОСКОВСКИЙ пр.';61;;;;;;;;;;Да
129542;'МОСКОВСКИЙ пр.';63;;;;;;;;;;Да
129543;'МОСКОВСКИЙ пр.';75;;;;;;;;;;Да
129544;'МОСКОВСКИЙ пр.';79;;;;;;;;;;Да
129545;'МОСКОВСКИЙ пр.';79;;;;;;;;;;Да
129546;'МЯСНАЯ ул.';10;;;;;;;;;;Да
129547;'МЯСНАЯ ул.';18;;;;;;;;;;Да
129548;'МЯСНАЯ ул.';20;;;;;;;;;;Да
'01-0177';'наб. Обводного канала';121;;;;;;;;;;Да
'01-0178';'наб. Обводного канала';121;;;;;;;;;;Да
'01-0179';'наб. Обводного канала';123;;;;;;;;;;Да
'01-0180';'наб. Обводного канала';127;;;;;;;;;;Да
'01-0181';'наб. Обводного канала';127;;;;;;;;;;Да
'01-0278';'наб. реки Фонтанки';102;;;;;;;;;;Да
'01-0269';'наб. реки Фонтанки';104;;;;;;;;;;Да
'01-0279';'наб. реки Фонтанки';108;;;;;;;;;;Да
'01-0281';'наб. реки Фонтанки';'110/16';;;;;;;;;;Да
'01-0282';'наб. реки Фонтанки';'110/16';;;;;;;;;;Да
'01-0268';'наб. реки Фонтанки';90;;;;;;;;;;Да
'01-0270';'наб. реки Фонтанки';90;;;;;;;;;;Да
'01-0272';'наб. реки Фонтанки';94;;;;;;;;;;Да
'01-0274';'наб. реки Фонтанки';96;;;;;;;;;;Да
'01-0275';'наб. реки Фонтанки';98;;;;;;;;;;Да
'01-0276';'наб. реки Фонтанки';98;;;;;;;;;;Да
'01-0277';'наб. реки Фонтанки';98;;;;;;;;;;Да
129553;'ОБВОДНОГО канала наб.';'118б';;;;;;;;;;Да
129554;'ОБВОДНОГО канала наб.';135;;;;;;;;;;Да
129555;'ОБВОДНОГО канала наб.';141;;;;;;;;;;Да
129556;'ОБВОДНОГО канала наб.';141;;;;;Да;;Да;Да;;
129557;'ОБВОДНОГО канала наб.';145;;;;;;;;;;Да
129558;'ОБВОДНОГО канала наб.';145;;;;;;;;;;Да
129559;'ОБВОДНОГО канала наб.';'147-149';;;;;Да;;Да;Да;;
129560;'ОБВОДНОГО канала наб.';'147-149';;;;;;;;;;Да
129561;'ОБВОДНОГО канала наб.';'147-149';;;;;;;;;;Да
129563;'ОБВОДНОГО канала наб.';'147-149';;;;;;;;;;Да
129564;'ОБВОДНОГО канала наб.';'151-153';;;;;Да;;;;;Да
129565;'ОБВОДНОГО канала наб.';155;;;;;;;;;;Да
129567;'ОБВОДНОГО канала наб.';'157-159';;;;;;;;;;Да
129568;'ОБВОДНОГО канала наб.';'157-159';;;;;;;;;;Да
129569;'ОБВОДНОГО канала наб.';'157-159';;;;;;;;;;Да
129570;'ОБВОДНОГО канала наб.';'157-159';;;;;;;;;;Да
129571;'ОБВОДНОГО канала наб.';165;;;;;;;;;;Да
129572;'ОБВОДНОГО канала наб.';183;;;;;;;;;;Да
129573;'ПАСТОРОВА ул.';3;;;;;;;;;;Да
129575;'ПАСТОРОВА ул.';5;;;;;;;;;;Да
129576;'ПАСТОРОВА ул.';6;;;;;;;;;;Да
'01-001101';'ПИРОГОВА ПЕР,';5;;;;;Да;;;Да;;
129579;'ПИСАРЕВА ул.';10;;;;;Да;;Да;Да;;
129581;'ПИСАРЕВА ул.';5;;;;;;;;;;Да
129583;'ПИСАРЕВА ул.';'6-8';;;;;;;;;;Да
129584;'ПИСАРЕВА ул.';'6-8';;;;;;;;;;Да
'01-0189';'Подольская ул.';13;;;;;;;;;;Да
'01-0182';'Подольская ул.';'1-3-5';;;;;;;;;;Да
'01-0190';'Подольская ул.';14;;;;;;;;;;Да
'01-0191';'Подольская ул.';15;;;;;;;;;;Да
'01-0192';'Подольская ул.';16;;;;;;;;;;Да
'01-0193';'Подольская ул.';17;;;;;;;;;;Да
'01-0194';'Подольская ул.';19;;;;;;;;;;Да
'01-0195';'Подольская ул.';21;;;;;;;;;;Да
'01-0196';'Подольская ул.';'23/16';;;;;;;;;;Да
'01-0197';'Подольская ул.';25;;;;;;;;;;Да
'01-0198';'Подольская ул.';27;;;;;;;;;;Да
'01-0199';'Подольская ул.';28;;;;;;;;;;Да
'01-0200';'Подольская ул.';31;;;;;;;;;;Да
'01-0201';'Подольская ул.';33;;;;;;;;;;Да
'01-0202';'Подольская ул.';34;;;;;;;;;;Да
'01-0204';'Подольская ул.';38;;;;;;;;;;Да
'01-0205';'Подольская ул.';'39/14';;;;;;;;;;Да
'01-0206';'Подольская ул.';40;;;;;;;;;;Да
'01-0207';'Подольская ул.';41;;;;;;;;;;Да
'01-0208';'Подольская ул.';41;;;;;;;;;;Да
'01-0209';'Подольская ул.';42;;;;;;;;;;Да
'01-0183';'Подольская ул.';'4/3';;;;;;;;;;Да
'01-0211';'Подольская ул.';'44-48';;;;;;;;;;Да
'01-0212';'Подольская ул.';45;;;;;;;;;;Да
'01-0213';'Подольская ул.';50;;;;;;;;;;Да
'01-0214';'Подольская ул.';50;;;;;;;;;;Да
'01-0186';'Подольская ул.';'9-11';;;;;;;;;;Да
'01-0221';'Подъездной пер.';10;;;;;;;;;;Да
'01-0222';'Подъездной пер.';11;;;;;;;;;;Да
'01-0223';'Подъездной пер.';14;;;;;;;;;;Да
'01-0224';'Подъездной пер.';17;;;;;;;;;;Да
'01-0215';'Подъездной пер.';3;;;;;;;;;;Да
'01-0216';'Подъездной пер.';3;;;;;;;;;;Да
'01-0218';'Подъездной пер.';5;;;;;;;;;;Да
'01-0219';'Подъездной пер.';7;;;;;;;;;;Да
'01-0220';'Подъездной пер.';8;;;;;;;;;;Да
129585;'ПОЧТАМТСКАЯ ул.';10;;;;;;;;;;Да
129586;'ПОЧТАМТСКАЯ ул.';11;;;;;;;;;;Да
129587;'ПОЧТАМТСКАЯ ул.';12;;;;;;;;;;Да
129588;'ПОЧТАМТСКАЯ ул.';13;;;;;;;;;;Да
129589;'ПОЧТАМТСКАЯ ул.';2;;;;;;;;;;Да
129590;'ПОЧТАМТСКАЯ ул.';2;;;;;Да;;Да;Да;;
129591;'ПОЧТАМТСКАЯ ул.';20;;;;;;;;;;Да
129592;'ПОЧТАМТСКАЯ ул.';6;;;;;;;;;;Да
129593;'ПОЧТАМТСКИЙ пер.';2;;;;;;;;;;Да
129594;'ПРЯДИЛЬНЫЙ пер.';12;;;;;Да;;Да;Да;;
129597;'ПРЯДИЛЬНЫЙ пер.';'7/165';;;;;;;;;;Да
129598;'ПРЯДИЛЬНЫЙ пер.';'8-10';;;;;;;;;;Да
129599;'ПРЯЖКИ наб.реки';'18-20';;;;;;;;;;Да
129600;'ПРЯЖКИ наб.реки';28;;;;;;;;;;Да
129602;'ПРЯЖКИ наб.реки';34;;;;;;;;;;Да
129603;'ПРЯЖКИ наб.реки';36;;;;;;;;;;Да
129604;'ПРЯЖКИ наб.реки';38;;;;;;;;;;Да
129605;'ПРЯЖКИ наб.реки';38;;;;;;;;;;Да
129606;'ПРЯЖКИ наб.реки';40;;;;;;;;;;Да
129607;'ПРЯЖКИ наб.реки';40;;;;;;;;;;Да
129610;'ПРЯЖКИ наб.реки';50;;;;;;;;;;Да
129612;'ПСКОВСКАЯ ул.';'10-12';;;;;;;;;;Да
129613;'ПСКОВСКАЯ ул.';'11/22';;;;;;;;;;Да
129611;'ПСКОВСКАЯ ул.';'1/13';;;;;;;;;;Да
129617;'ПСКОВСКАЯ ул.';22;;;;;;;;;;Да
129618;'ПСКОВСКАЯ ул.';3;;;;;;;;;;Да
129619;'ПСКОВСКАЯ ул.';3;;;;;;;;;;Да
129620;'ПСКОВСКАЯ ул.';5;;;;;;;;;;Да
129621;'ПСКОВСКАЯ ул.';6;;;;;;;;;;Да
129623;'ПСКОВСКАЯ ул.';8;;;;;;;;;;Да
129624;'РАБОЧИЙ пер.';'4/8';;;;;;;;;;Да
129625;'РИЖСКИЙ пр.';10;;;;;;;;;;Да
129626;'РИЖСКИЙ пр.';12;;;;;;;;;;Да
129627;'РИЖСКИЙ пр.';14;;;;;;;;;;Да
129628;'РИЖСКИЙ пр.';18;;;;;;;;;;Да
129629;'РИЖСКИЙ пр.';19;;;;;;;;;;Да
129632;'РИЖСКИЙ пр.';19;;;;;;;;;;Да
129633;'РИЖСКИЙ пр.';20;;;;;;;;;;Да
129634;'РИЖСКИЙ пр.';22;;;;;;;;;;Да
129635;'РИЖСКИЙ пр.';36;;;;;;;;;;Да
129636;'РИЖСКИЙ пр.';8;;;;;Да;;Да;Да;;
129637;'РИМСКОГО-КОРСАКОВА пр.';103;;;;;;;;;;Да
129638;'РИМСКОГО-КОРСАКОВА пр.';20;;;;;;;;;;Да
129639;'РИМСКОГО-КОРСАКОВА пр.';24;;;;;Да;;Да;Да;;
129640;'РИМСКОГО-КОРСАКОВА пр.';49;;;;;;;;;;Да
129641;'РИМСКОГО-КОРСАКОВА пр.';51;;;;;;;;;;Да
129643;'РИМСКОГО-КОРСАКОВА пр.';59;;;;;;;;;;Да
129647;'РИМСКОГО-КОРСАКОВА пр.';63;;;;;;;;;;Да
129649;'РИМСКОГО-КОРСАКОВА пр.';'65/11';;;;;;;;;;Да
129650;'РИМСКОГО-КОРСАКОВА пр.';75;;;;;;;;;;Да
129651;'РИМСКОГО-КОРСАКОВА пр.';81;;;;;;;;;;Да
129652;'РИМСКОГО-КОРСАКОВА пр.';'89-91';;;;;;;;;;Да
129653;'РИМСКОГО-КОРСАКОВА пр.';93;;;;;;;;;;Да
129654;'РИМСКОГО-КОРСАКОВА пр.';95;;;;;Да;;Да;Да;;
129655;'РИМСКОГО-КОРСАКОВА пр.';97;;;;;;;;;;Да
129656;'РИМСКОГО-КОРСАКОВА пр.';99;;;;;;;;;;Да
'01-0228';'Рузовская ул.';11;;;;;;;;;;Да
'01-0229';'Рузовская ул.';13;;;;;;;;;;Да
'01-0231';'Рузовская ул.';15;;;;;;;;;;Да
'01-0232';'Рузовская ул.';17;;;;;;;;;;Да
'01-0233';'Рузовская ул.';19;;;;;;;;;;Да
'01-0235';'Рузовская ул.';25;;;;;;;;;;Да
'01-0236';'Рузовская ул.';29;;;;;;;;;;Да
'01-0237';'Рузовская ул.';33;;;;;;;;;;Да
'01-0238';'Рузовская ул.';35;;;;;;;;;;Да
'01-0226';'Рузовская ул.';5;;;;;;;;;;Да
'01-0227';'Рузовская ул.';9;;;;;;;;;;Да
129657;'САДОВАЯ ул.';101;;;;;;;;;;Да
