Код БТИ;Улица;Дом;Нет информации на вкладе ТЭ;Раздвоение во вкладке ТЭ;Колич. этажей < 1;Колич. парадных < 1;Колич. квартир < 1;Общ. площадь < 50;Отаплив. площадь < 50;Жил. площадь < 50;Общ. площадь < Отаплив. площади;Общ. площадь не = (жил. + нежил.)
129047;'12-я КРАСНОАРМЕЙСКАЯ  ул.';34;;;;;;;;;;Да
129048;'12-я КРАСНОАРМЕЙСКАЯ  ул.';6;;;;;;;;;;Да
129050;'12-я КРАСНОАРМЕЙСКАЯ  ул.';6;;;;;;;;;;Да
129051;'12-я КРАСНОАРМЕЙСКАЯ  ул.';7;;;;;;;;;;Да
129052;'12-я КРАСНОАРМЕЙСКАЯ  ул.';8;;;;;;;;;;Да
129056;'13-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129058;'13-я КРАСНОАРМЕЙСКАЯ ул.';15;;;;;;;;;;Да
129060;'13-я КРАСНОАРМЕЙСКАЯ ул.';17;;;;;;;;;;Да
129061;'13-я КРАСНОАРМЕЙСКАЯ ул.';'17б';;;;;Да;;Да;Да;;
129064;'13-я КРАСНОАРМЕЙСКАЯ ул.';21;;;;;Да;;Да;Да;;
129066;'13-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129067;'13-я КРАСНОАРМЕЙСКАЯ ул.';23;;;;;;;;;;Да
129068;'13-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129069;'13-я КРАСНОАРМЕЙСКАЯ ул.';26;;;;;;;;;;Да
129071;'13-я КРАСНОАРМЕЙСКАЯ ул.';28;;;;;;;;;;Да
129072;'13-я КРАСНОАРМЕЙСКАЯ ул.';6;;;;;;;;;;Да
129073;'1-я КРАСНОАРМЕЙСКАЯ ул.';12;;;;;;;;;;Да
129074;'1-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129075;'1-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129076;'1-я КРАСНОАРМЕЙСКАЯ ул.';18;;;;;;;;;;Да
129077;'1-я КРАСНОАРМЕЙСКАЯ ул.';18;;;;;;;;;;Да
129078;'1-я КРАСНОАРМЕЙСКАЯ ул.';2;;;;;;;;;;Да
129079;'1-я КРАСНОАРМЕЙСКАЯ ул.';20;;;;;;;;;;Да
129080;'1-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129081;'1-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129082;'1-я КРАСНОАРМЕЙСКАЯ ул.';24;;;;;;;;;;Да
129083;'1-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129084;'1-я КРАСНОАРМЕЙСКАЯ ул.';'8-10';;;;;;;;;;Да
129085;'1-я КРАСНОАРМЕЙСКАЯ ул.';'8-10';;;;;;;;;;Да
129086;'2-я КРАСНОАРМЕЙСКАЯ ул.';10;;;;;;;;;;Да
129087;'2-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129088;'2-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129089;'2-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129090;'2-я КРАСНОАРМЕЙСКАЯ ул.';19;;;;;;;;;;Да
129091;'2-я КРАСНОАРМЕЙСКАЯ ул.';'2/27';;;;;;;;;;Да
