||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
22|'18_33'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||321,8|312,98|74,46|'Д'|56,03|'Д'|77,23|'Д'|29,74|'Д'|15,36|'Д'|||||||0|'Д'|24,23|'Д'|37,85|'Д'|48,98|'Д'|998,66|0,17464||'зависимая'|0|'разгружен'
24|'18_53'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||0|181,21|181,21|'Р'|180,52|'Р'|180,52|'Р'|180,52|'Р'|52,42|'Р'|||||||28,61|'Р'|171,59|'Р'|171,59|'Р'|171,59|'Р'|1499,78|0,457582||'зависимая'|0|'отсутствует'
27|'18_56'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||885,3|1130,8|136,27|'Р'|136,27|'Р'|136,27|'Р'|136,27|'Р'|39,56|'Р'|||||||0|'Р'|125,61|'Р'|134,27|'Р'|134,27|'Р'|2994,89|0,45266||'зависимая'|0|'отсутствует'
28|'18_57'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||497,85|639,27|86,89|'Р'|80,58|'Р'|80,58|'Р'|80,58|'Р'|25,99|'Р'|||||||0|'Р'|55,74|'Д'|55,22|'Д'|74,16|'Д'|1676,86|0,2523||'зависимая'|0|'разгружен'
29|'18_58'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||495,13|691,34|91,55|'Р'|91,55|'Р'|91,55|'Р'|91,55|'Р'|29,53|'Р'|||||||0|'Р'|35,75|'Д'|40,59|'Д'|57,51|'Д'|1716,05|0,25092||'зависимая'|0|'разгружен'
30|'18_59'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||0|49,43|49,76|'Р'|48,81|'Р'|49,49|'Р'|47,73|'Р'|13,61|'Р'|||||||7,3|'Р'|43,73|'Р'|44,03|'Р'|44,8|'Р'|398,69|0,17966||'зависимая'|0|'отсутствует'
31|'18_55'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||961,89|1046,99|149,72|'Р'|146,33|'Р'|146,33|'Р'|146,33|'Р'|42,48|'Р'|||||||0|'Р'|122,81|'Р'|131,28|'Р'|131,28|'Р'|3025,44|0,4918||'зависимая'|0|'отсутствует'
32|'18_67'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||331,5|343,26|47,56|'Р'|47,56|'Р'|47,56|'Р'|47,56|'Р'|13,8|'Р'|||||||8,64|'Р'|43,23|'Р'|43,23|'Р'|41,83|'Р'|1015,73|0,16962||'зависимая'|0|'отсутствует'
33|'18_68'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||319,34|272,34|58,34|'Д'|49,27|'Д'|55,86|'Д'|27,17|'Д'|14,69|'Д'|||||||0|'Д'|29,65|'Д'|34,83|'Д'|40,95|'Д'|902,44|0,1626||'зависимая'|0|'разгружен'
34|'18_69'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||371,23|439,19|59,55|'Р'|59,55|'Р'|59,55|'Р'|59,55|'Р'|17,28|'Р'|||||||11,65|'Р'|58,24|'Р'|58,24|'Р'|56,36|'Р'|1250,39|0,18768||'зависимая'|0|'отсутствует'
