||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
17|'13_1_17'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||1560,63|1687,2|319,28|'Р'|202,96|'Р'|291,48|'Р'|199,5|'Р'|58,99|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|228|'Р'|228|'Р'|228|'Р'|1756,21|0,6651|'95-70'|'зависимая'|0|0
18|'13_1_18'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||1149,35|1412,43|194,6|'Д'|194,6|'Д'|194,6|'Д'|194,6|'Д'|56,5|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|189,93|'Д'|189,93|'Д'|112,63|'Д'|1327,39|0,5761|'95-70'|'зависимая'|0|0
19|'13_1_19'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||526,44|568,72|108,73|'Д'|68,86|'Д'|96,9|'Д'|72,86|'Д'|20,48|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|72,21|'Д'|30,66|'Д'|62,6|'Д'|533,3|0,2078|'95-70'|'зависимая'|0|0
20|'13_1_20'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||448,44|484,46|92,63|'Д'|58,66|'Д'|82,54|'Д'|62,06|'Д'|17,45|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|61,52|'Д'|26,11|'Д'|53,32|'Д'|454,29|0,2078|'95-70'|'зависимая'|0|0
21|'13_1_21'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50,2|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||0|509,66|69,91|'Р'|69,91|'Р'|69,91|'Р'|69,91|'Р'|20,29|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|67,4|'Р'|67,4|'Р'|67,4|'Р'|502,13|0,2329|'95-70'|'зависимая'|0|0
22|'13_1_22'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||322,52|236,59|50,05|'Д'|31,16|'Д'|44,98|'Д'|32,22|'Д'|9,69|'Д'|0|'Д'|0|'Д'|0|'Д'|0|'Д'|17,46|'Д'|20,1|'Д'|29,15|'Д'|234,81|0,1432|'95-70'|'зависимая'|0|0
23|'13_1_23'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||880,98|684,62|91,08|'Р'|91,08|'Р'|91,08|'Р'|91,08|'Р'|26,44|'Р'|0|'Р'|0|'Р'|0|'Р'|21,45|'Р'|91,94|'Р'|91,94|'Р'|91,94|'Р'|688,03|0,4005|'95-70'|'зависимая'|0|0
24|'13_1_24'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||240,96|228,8|31,45|'Р'|31,45|'Р'|31,45|'Р'|31,45|'Р'|9,13|'Р'|0|'Р'|0|'Р'|0|'Р'|7,16|'Р'|30,69|'Р'|30,69|'Р'|30,69|'Р'|234,17|0,15|'95-70'|'зависимая'|0|0
25|'13_1_25'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||170,09|161,51|22,2|'Р'|22,2|'Р'|22,2|'Р'|22,2|'Р'|6,45|'Р'|0|'Р'|0|'Р'|0|'Р'|5,05|'Р'|21,66|'Р'|21,66|'Р'|21,66|'Р'|165,3|0,11|'95-70'|'зависимая'|0|0
26|'13_1_26'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||163,01|154,78|21,28|'Р'|21,28|'Р'|21,28|'Р'|21,28|'Р'|6,18|'Р'|0|'Р'|0|'Р'|0|'Р'|4,84|'Р'|20,76|'Р'|20,76|'Р'|20,76|'Р'|158,41|0,104|'95-70'|'зависимая'|0|0
27|'13_1_27'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||134,66|127,86|17,58|'Р'|17,58|'Р'|17,58|'Р'|17,58|'Р'|5,1|'Р'|0|'Р'|0|'Р'|0|'Р'|4|'Р'|17,15|'Р'|17,15|'Р'|17,15|'Р'|130,86|0,093|'95-70'|'зависимая'|0|0
28|'13_1_28'|'"ФГБОУ ВПО ""Петербургский государственный университет путей сообщения Императора Александра I"" "'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|2|'Местная'|65|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||0|0|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|0,7625|'95-70'|'зависимая'|0|0
29|'13_1_29'|'"ФГБОУ ВПО ""Петербургский государственный университет путей сообщения Императора Александра I"" "'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|65|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||0|0|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|0,7874|'95-70'|'зависимая'|0|0
30|'13_1_30'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|50|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||420,31|510,69|86,07|'Р'|85,95|'Р'|85,95|'Р'|85,95|'Р'|24,96|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|84,39|'Р'|84,39|'Р'|84,39|'Р'|622,06|0,3613|'95-70'|'зависимая'|0|0
31|'13_1_31'|'"ООО ""Петербургтеплоэнерго"""'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||171,67|208,59|35,16|'Р'|35,11|'Р'|35,11|'Р'|35,11|'Р'|10,19|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|34,47|'Р'|34,47|'Р'|34,47|'Р'|254,08|0,123|'95-70'|'зависимая'|0|0
32|'13_1_32'|'"ФГБОУ ВПО ""Петербургский государственный университет путей сообщения Императора Александра I"" "'|'ИТП'|'Закрытая'|'"ООО ""Жилкомсервис № 1 Петроградского района"""'|'Отопление'|'Гкал'|1|'Местная'|32|5|'95-70'|'нет'|'нет'|1|0|'Двухтрубная'|0||0|0|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|0|0,29|'95-70'|'зависимая'|0|0
