||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
470|1202156|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|1603,09|1566,21|358,56|'Д'|206,93|'Д'|284,72|'Д'|171,04|'Д'|44,64|'Д'|0||0||0||0||215,87|'Д'|185,48|'Д'|218,5|'Д'|1685,74|0,626|'95-70'|'зависимая'|1|'отсутствует'|
471|1202157|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|3|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|2117,8|2027,92|410,67|'Д'|242,18|'Д'|340,55|'Д'|228,97|'Д'|25,77|'Д'|0||0||0||0||246,52|'Д'|211,29|'Д'|290,95|'Д'|1996,9|0,69|'95-70'|'зависимая'|2|'отсутствует'|
472|1202158|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|2|'ценральное'|80|7,2|'95-70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|3508,45|3445,07|651,5|'Д'|471,73|'Д'|536,09|'Д'|351,96|'Д'|66,18|'Д'|0||0||0||0||340,32|'Д'|321,42|'Д'|424,86|'Д'|3164,06|'0,7566/0,5026'|'95-70'|'зависимая'|1|'отсутствует'|
473|1202159|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|57|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|695,92|768,62|152,59|'Д'|93,53|'Д'|137,65|'Д'|85,32|'Д'|6,9|'Д'|0||0||0||0||88,25|'Д'|78,24|'Д'|103,06|'Д'|745,54|0,3792|'95-70'|'зависимая'|3|'отсутствует'|
474|1202160|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|57|7,2|'95-70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|817,23|846,53|126,84|'Д'|82,29|'Д'|114,69|'Д'|71,85|'Д'|8,81|'Д'|0||0||0||0||68,04|'Д'|66,44|'Д'|91,84|'Д'|630,8|0,33|'95-70'|'зависимая'|1|'отсутствует'|
475|1202161|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|3|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|2226,86|2196,03|440,67|'Д'|300,65|'Д'|440,8|'Д'|320,96|'Д'|28,81|'Д'|0||0||0||0||262,02|'Д'|227,16|'Д'|301,29|'Д'|2322,36|0,995|'95-70'|'зависимая'|3|'отсутствует'|
476|1202162|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|4|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|2583,75|3672,59|709,87|'Д'|595,25|'Д'|501,48|'Д'|427,1|'Д'|135,75|'Д'|0||0||0||0||348,09|'Д'|367,12|'Д'|491,11|'Д'|3575,77|1,44522|'95-70'|'зависимая'|4|'отсутствует'|
477|1202163|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|828|807,93|154,94|'Д'|128,18|'Д'|125,24|'Д'|89,09|'Д'|25,34|'Д'|0||0||0||0||69,07|'Д'|70,44|'Д'|104,18|'Д'|766,48|0,34951|'95-70'|'зависимая'|1|'отсутствует'|
478|1202164|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|89|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|1167,37|1156,59|249,53|'Д'|211,66|'Д'|210,85|'Д'|156,82|'Д'|37,78|'Д'|0||0||0||0||113,59|'Д'|128,07|'Д'|180,55|'Д'|1288,85|1,19103|'95-70'|'зависимая'|1|'отсутствует'|
479|1202165|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|89|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|437,53|457,09|87,34|'Д'|72,11|'Д'|65,93|'Д'|51,54|'Д'|15,19|'Д'|0||0||0||0||44,64|'Д'|50,14|'Д'|62,31|'Д'|449,2|0,21102|'95-70'|'зависимая'|2|'отсутствует'|
480|1202166|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|80|7,2|'95-70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|660,77|623,56|129,61|'Д'|105,48|'Д'|85,82|'Д'|70,83|'Д'|18,26|'Д'|0||0||0||0||56,6|'Д'|68,06|'Д'|92,91|'Д'|627,57|0,50203|'95-70'|'зависимая'|1|'отсутствует'|
481|1202167|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|57|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|637,62|707,99|119,91|'Д'|103,54|'Д'|101,26|'Д'|74,39|'Д'|22,98|'Д'|0||0||0||0||63,05|'Д'|72,12|'Д'|89,7|'Д'|646,95|0,29466|'95-70'|'зависимая'|2|'отсутствует'|
482|1202168|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|685,9|763,21|157,04|'Д'|130,27|'Д'|123,06|'Д'|94,98|'Д'|26,44|'Д'|0||0||0||0||74,93|'Д'|80,24|'Д'|106,6|'Д'|793,56|0,3013|'95-70'|'зависимая'|1|'отсутствует'|
483|1202169|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|100|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|1502,56|1237,9|236,12|'Д'|198,41|'Д'|181,73|'Д'|147,61|'Д'|40,76|'Д'|0||0||0||0||108,51|'Д'|119,42|'Д'|164,87|'Д'|1197,43|0,75146|'95-70'|'зависимая'|2|'отсутствует'|
484|1202170|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|4|'ценральное'|80|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|2939,57|3085,4|701,17|'Д'|589,52|'Д'|533,87|'Д'|416,64|'Д'|115,14|'Д'|0||0||0||0||335,64|'Д'|358,89|'Д'|489,82|'Д'|3540,69|1,40431|'95-70'|'зависимая'|4|'отсутствует'|
485|1202171|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|89|7,2|'95-70'|'нет'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|1327,48|1370,72|285,58|'Д'|234,46|'Д'|236,92|'Д'|170,44|'Д'|42,86|'Д'|0||0||0||0||123,7|'Д'|138,64|'Д'|184,09|'Д'|1416,69|0,53832|'95-70'|'зависимая'|1|'отсутствует'|
486|1202172|'"ГУП""ТЭК СПб"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|4|'ценральное'|80|7,2|'95-70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|2704,98|3543,83|698,69|'Д'|573,09|'Д'|490,53|'Д'|419,02|'Д'|107,43|'Д'|0||0||0||0||333,05|'Д'|352,15|'Д'|482,1|'Д'|3456,06|1,5798|'95-70'|'зависимая'|2|'отсутствует'|
487|1202173|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|89|7,2|'95-70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|921,99|930,95|153,72|'Д'|96,92|'Д'|125|'Д'|104,06|'Д'|15,14|'Д'|0||0||0||0||103,06|'Д'|78,75|'Д'|112,42|'Д'|789,07|0,39|'95-70'|'зависимая'|1|'отсутствует'|
488|1202174|'"ОАО""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""ЖКС№2 Московс.р-на"""'|'Отопление'|'Гкал'|1|'ценральное'|89|7,2|'95-70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'|0|558,67|507,67|78,34|'Д'|46,8|'Д'|66,9|'Д'|46,99|'Д'|7,52|'Д'|0||0||0||0||44,38|'Д'|46|'Д'|65,68|'Д'|402,61|0,29|'95-70'|'зависимая'|1|'отсутствует'|
489|1202175|||||||||||||||||||||||||||||||||||||||||||||||||||
490|1202176|||||||||||||||||||||||||||||||||||||||||||||||||||
491|1202177|||||||||||||||||||||||||||||||||||||||||||||||||||
492|1202178|||||||||||||||||||||||||||||||||||||||||||||||||||
493|1203001|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|838,63|881,38|105,68|'МР'|105,68|'МР'|105,68|'МР'|105,68|'МР'|88,07|'МР'|4,6||||||||101,06|'МР'|101,06|'МР'|101,06|'МР'|818,57|0,29|'120-70 0С'|'зависимая '|1|'отсутствует'|
494|1203002|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|855,58|886,43|105,62|'МР'|105,62|'МР'|105,62|'МР'|105,62|'МР'|88,02|'МР'|4,6||||||||101,1|'МР'|101,1|'МР'|101,1|'МР'|818,4|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
495|1203003|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|857,68|891,83|105,94|'МР'|105,94|'МР'|105,94|'МР'|105,94|'МР'|94,17|'МР'|||||4,2||||101,41|'МР'|101,41|'МР'|101,41|'МР'|826,36|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
496|1203004|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|896,33|892|105,61|'МР'|105,61|'МР'|105,61|'МР'|105,61|'МР'|105,61|'МР'|||||4,2||||99,89|'МР'|100,84|'МР'|100,84|'МР'|833,82|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
497|1203005|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|2303,78|2355,55|277,61|'МР'|281,78|'МР'|281,78|'МР'|281,78|'МР'|250,47|'МР'|2,69||||||||251,07|'МР'|262,38|'МР'|258,55|'МР'|2148,11|0,83|'120-70 0С'|'зависимая '|1|'отсутствует'|
498|1203006|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|869,63|891,25|109,2|'МР'|99,72|'МР'|106,2|'МР'|106,2|'МР'|106,2|'МР'|||||||||100,67|'МР'|101,63|'МР'|101,63|'МР'|831,45|0,31|'120-70 0С'|'зависимая '|1|'отсутствует'|
499|1203007|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|848,77|887,87|1062|'МР'|99,55|'МР'|1060,2|'МР'|106,02|'МР'|106,02|'МР'|||||2,2||||101,47|'МР'|101,47|'МР'|101,47|'МР'|2740,4|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
500|1203008|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|687,67|729,51|87,23|'МР'|89,06|'МР'|89,06|'МР'|89,06|'МР'|80,17|'МР'|5,38||||||||83,38|'МР'|87,14|'МР'|85,87|'МР'|696,35|0,26|'120-70 0С'|'зависимая '|1|'отсутствует'|
501|1203009|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|664,46|679,75|106,26|'МР'|106,26|'МР'|106,26|'МР'|106,26|'МР'|30,85|'МР'|1,37||||||||101,63|'МР'|101,63|'МР'|101,63|'МР'|762,15|0,34166|'120-70 0С'|'зависимая '|1|'отсутствует'|
502|1203010|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|523,97|679,7|106,43|'МР'|106,43|'МР'|105,29|'МР'|106,43|'МР'|30,9|'МР'|1,37||||||||101,81|'МР'|101,81|'МР'|101,26|'МР'|761,73|0,34166|'120-70 0С'|'зависимая '|1|'отсутствует'|
503|1203011|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1393,85|1436,52|173,03|'МР'|173,03|'МР'|173,03|'МР'|173,03|'МР'|153,81|'МР'|||||||2,4||177,76|'МР'|177,62|'МР'|142,68|'МР'|1346,39|0,57|'120-70 0С'|'зависимая '|1|'отсутствует'|
504|1203012|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|458,07|750,89|71,91|'МР'|71,26|'МР'|71,91|'МР'|71,69|'МР'|64,55|'МР'|6,48|'МР'|6,22|'МР'|6,58|'МР'|6,48|'МР'|68,83|'МР'|71,83|'МР'|73,65|'МР'|591,39|0,25|'120-70 0С'|'зависимая '|1|'отсутствует'|
505|1203013|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|454,4|726,45|80,15|'МР'|78,76|'МР'|80,15|'МР'|79,69|'МР'|72,58|'МР'|16,05|'МР'|12,95|'МР'|14,26|'МР'|13,86|'МР'|75,88|'МР'|77,42|'МР'|99,71|'МР'|701,46|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
506|1203014|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|546,97|593,88|69,53|'МР'|69,53|'МР'|69,53|'МР'|69,53|'МР'|61,81|'МР'|2,48||||||||62,64|'МР'|64,28|'МР'|62,64|'МР'|531,97|0,25|'120-70 0С'|'зависимая '|1|'отсутствует'|
507|1203015|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1330,78|1450,04|229,46|'МР'|183,66|'МР'|186,66|'МР'|186,66|'МР'|163,26|'МР'|2,4||||||1,94||180,63|'МР'|185,43|'МР'|182,1|'МР'|1502,2|0,57|'120-70 0С'|'зависимая '|1|'отсутствует'|
508|1203016|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|660,16|672,17|107,12|'МР'|107,12|'МР'|105,97|'МР'|107,12|'МР'|31,1|'МР'|1,34||||||||102,54|'МР'|102,54|'МР'|101,99|'МР'|766,84|0,34166|'120-70 0С'|'зависимая '|1|'отсутствует'|
509|1203017|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|660,54|675,05|105,36|'МР'|105,38|'МР'|102,11|'МР'|105,36|'МР'|30,59|'МР'|1,37||||||||100,74|'МР'|100,74|'МР'|100,74|'МР'|752,39|0,34166|'120-70 0С'|'зависимая '|1|'отсутствует'|
510|1203018|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|643,61|680,05|106,8|'МР'|106,8|'МР'|104,65|'МР'|106,8|'МР'|31,1|'МР'|1,37||||||||102,29|'МР'|102,29|'МР'|85,49|'Д'|747,59|0,33161|'120-70 0С'|'зависимая '|1|'отсутствует'|
511|1203019|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|4|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'без элеваторная'|'да'|'АИТП'|4000,33|4489,78|422,89|'Дср'|424,16|'Дср'|419,9|'Дср'|425,8|'Дср'|417,69|'Дср'|100,95|'Дср'|99,91|'Дср'|67,37|'Дср'|106,27|'Дср'|409,42|'Дср'|412,29|'Дср'|567,19|'Д'|3873,84|1,62|'120-70 0С'|'зависимая '|'4 АУУ'|'отсутствует'|
512|1203020|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|525,05|533,3|83,2|'МР'|83,2|'МР'|80,62|'МР'|83,2|'МР'|24,15|'МР'|1,37||||||||79,45|'МР'|79,45|'МР'|78,49|'Д'|593,13|0,27132|'120-70 0С'|'зависимая '|1|'отсутствует'|
513|1203021|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|525,05|530,78|82,72|'МР'|82,72|'МР'|80,15|'МР'|82,72|'МР'|24,01|'МР'|1,34||||||||78,97|'МР'|78,97|'МР'|75,03|'Д'|586,63|0,27132|'120-70 0С'|'зависимая '|1|'отсутствует'|
514|1203022|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|688,58|727,95|116,8|'Д'|84,1|'Д'|111,5|'Д'|72,4|'Д'|12,2|'Д'|||2,11||||||80,9|'Д'|69,33|'Д'|85,2|'Д'|634,54|0,27|'120-70 0С'|'зависимая '|1|'отсутствует'|
515|1203023|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|5877,46|6843,03|611,62|'МР'|616|'МР'|605,4|'МР'|607,68|'МР'|554,57|'МР'|136,99|'МР'|134,85|'МР'|140,66|'МР'|137,4|'МР'|604,16|'МР'|613,06|'МР'|445,05|'МР'|5207,44|3,38|'120-70 0С'|'зависимая '|6|'отсутствует'|
516|1203024|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|684,57|690,09|82,36|'МР'|82,24|'МР'|82,36|'МР'|82,36|'МР'|73,21|'МР'|||2,11||||||78,53|'МР'|76,78|'МР'|89,3|'Д'|649,25|0,27|'120-70 0С'|'зависимая '|1|'отсутствует'|
517|1203025|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|785,4|825,5|162,3|'Д'|96,7|'Д'|125,9|'Д'|83,5|'Д'|11,9|'Д'|||4,14||||||81,5|'Д'|74,8|'Д'|94,6|'Д'|735,34|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
518|1203026|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|883,43|883,02|105,18|'МР'|105,03|'МР'|105,18|'МР'|105,18|'МР'|93,49|'МР'|||2,11||||||100,53|'МР'|98,3|'МР'|113,2|'Д'|828,2|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
519|1203027|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|873,58|883,53|105,2|'МР'|105,05|'МР'|105,2|'МР'|105,2|'МР'|93,51|'МР'|||4,23||||||100,55|'МР'|98,32|'МР'|100,55|'Д'|817,81|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
520|1203028|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|873,05|987|179,2|'Д'|104,5|'Д'|155,8|'Д'|100,9|'Д'|18,7|'Д'|||4,23||||||103,6|'Д'|92,78|'Д'|117,7|'Д'|877,41|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
521|1203029|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|872,85|880,36|105,08|'МР'|104,93|'МР'|105,08|'МР'|105,08|'МР'|93,41|'МР'|||2,02||||||100,41|'МР'|98,18|'МР'|94,3|'Д'|808,49|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
522|1203030|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1340,21|1443,91|137,46|'МР'|134,12|'МР'|135,74|'МР'|135,74|'МР'|138,81|'МР'|30,68||31,24||32,19||32,48||129,62|'МР'|126,09|'МР'|131,88|'МР'|1196,05|0,59|'120-70 0С'|'зависимая '|1|'отсутствует'|
523|1203031|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|2649,94|2220,66|246|'Д'|238,92|'Д'|320,21|'Д'|198,41|'Д'|68,9|'Д'|40,32|'Д'|25,87|'Д'|38,25|'Д'|59,08|'Д '|210,88|'Д'|196,78|'Д'|282,29|'Д'|1925,91|0,71|'120-70 0С'|'зависимая '|1|'отсутствует'|
524|1203032|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|875,23|878,71|105,09|'МР'|104,94|'МР'|105,09|'МР'|103,92|'МР'|93,41|'МР'|||||||||99,7|'МР'|98,14|'МР'|102,87|'МР'|813,16|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
