||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
22|1201022|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||558,61|503,2|127,07||62,08||45,46||8,09||0||0||0||1,3||0||57,56||65,13||66,96||524,04|0,25|'150-70'|'Зависимая'|1|'нет'|
23|1201023|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||458,16|480,31|134,04||68,2||43,1||13,42||0||1,83||1,83||0||0||58,95||46,78||62,5||519,84|0,2|'150-70'|'Зависимая'|1|'нет'|
24|1201024|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||969,68|1042,44|137,9||137,9||137,9||137,9||0||2,78||2,78||0||23,72||107,36||137,75||137,75||1098,86|0,39|'150-70'|'Зависимая'|1|'нет'|
25|1201025|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||462,34|451,85|101,01||62,21||37,3||11,95||0||1,83||1,83||0||0||57,77||44,35||61,59||461,28|0,25|'150-70'|'Зависимая'|1|'нет'|
26|1201026|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||860,16|757,5|199,76||114,62||70,62||15,41||0||0||0||1,14||0||85,76||88,57||108,81||839,18|0,41|'150-70'|'Зависимая'|1|'нет'|
27|1201027|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|2||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1602,5|1417,61|268,58||181,61||120,61||38,1||0||3,57||3,57||0||0||160,19||134,61||180,17||1343,71|0,67|'150-70'|'Зависимая'|2|'нет'|
28|1201028|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||899,78|856,25|167,44||104,88||67,46||17,77||0||1,22||1,22||0||0||91,04||91,36||104,22||814,63|0,4|'150-70'|'Зависимая'|1|'нет'|
29|1201029|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||376,99|540,37|120,83||64,92||42,34||11,26||0||1,74||1,74||0||0||52,5||46,13||63,25||492,47|0,24|'150-70'|'Зависимая'|1|'нет'|
30|1201030|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||911,47|749,67|207,03||96,1||69,83||16,39||0||1,04||1,04||0||0||99,66||93,37||111,52||850,08|0,4|'150-70'|'Зависимая'|1|'нет'|
31|1201031|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||304,07|302,56|38||38||38||32,2||0||1,83||1,83||0||8,71||27,34||36||36,05||294,13|0,15|'150-70'|'Зависимая'|2|'нет'|
32|1201032|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||631,56|600,57|160,53||84,72||51,54||13,07||0||1,26||1,26||0||0||77,47||65,41||86,84||674,79|0,28|'150-70'|'Зависимая'|1|'нет'|
33|1201033|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||820,07|754,96|191,63||111,15||70,12||15,97||0||1,39||1,39||0||0||94,92||80,93||102,89||821,85|0,35|'150-70'|'Зависимая'|1|'нет'|
34|1201034|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||840,99|780,18|194,95||109,34||71,46||18,14||0||0,61||0,61||0||0||95,5||78,51||103,76||823,45|0,35|'150-70'|'Зависимая'|1|'нет'|
35|1201035|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||816,03|766,07|182,76||108,26||68,1||16,18||0||0,78||0,78||0||0||92,99||72,8||103,43||790,38|0,34|'150-70'|'Зависимая'|1|'нет'|
36|1201036|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||661,43|662,96|161,68||90,43||54,84||15,01||0||0,52||0,52||0||0||83,73||67,63||87,25||690,08|0,28|'150-70'|'Зависимая'|1|'нет'|
37|1201037|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|0||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||283,44|464,95|50,91||37,18||37,18||31,5||0||4,17||4,17||0||8,71||26,47||35,18||35,18||303,66|0,15|'150-70'|'Зависимая'|1|'нет'|
38|1201038|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1411,9|1331,99|207,82||151,79||114,61||61,34||40,56||25,17||25,17||32,59||44,1||123,22||125,38||160,67||1284,29|0,57|'150-70'|'Зависимая'|1|'нет'|
39|1201039|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1105,51|1066,83|148,58||115,35||89,02||44,96||30,24||19,86||19,86||25,91||30,81||98,33||91,43||122,07||964,42|0,47|'150-70'|'Зависимая'|1|'нет'|
40|1201040|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1586,11|1507,38|263,67||178,47||132,88||66,54||47,81||28,96||28,96||29,05||41,1||159,99||152,26||237,2||1576,81|0,69|'150-70'|'Зависимая'|1|'нет'|
41|1201041|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1612,1|1591,25|254,24||188,76||147,17||68,77||45,82||35,14||35,14||35,87||45,54||152,57||146,37||170,84||1544,23|0,65|'150-70'|'Зависимая'|1|'нет'|
42|1201042|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1445,03|1366,56|215,7||159,94||117,55||69,73||48,96||45,71||45,71||31,38||44,35||132,57||129,14||167,1||1358,69|0,732|'150-70'|'Зависимая'|1|'нет'|
43|1201043|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1369,92|1328,79|183,14||143,29||106,58||61,44||43,91||38,44||38,44||33,63||42,55||144,02||117,37||156,48||1263,58|0,67|'150-70'|'Зависимая'|1|'нет'|
44|1201044|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1636,15|1630,75|306,07||209,13||151,12||68,15||29,84||27,62||27,62||24,38||31,71||183,9||163,56||206,29||1668,29|0,64|'150-70'|'Зависимая'|1|'нет'|
45|1201045|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2057,92|2057,86|336,74||244,28||174,88||100,06||58,59||49,04||49,04||47,67||61,79||232,45||208,52||258,92||2080,55|1,02|'150-70'|'Зависимая'|1|'нет'|
46|1201046|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1433,61|1483,66|245,22||165,96||126,91||65,08||34,62||33,41||33,41||29,26||40,29||139,04||138,54||168,23||1409,27|0,76|'150-70'|'Зависимая'|1|'нет'|
47|1201047|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2962,47|2888,05|507,4||359,66||257,73||112,8||52,86||41,03||41,03||40,88||57,79||350,5||244,52||339,52||2832,28|1,39|'150-70'|'Зависимая'|1|'нет'|
48|1201048|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1895,06|2128,75|328,24||244,28||184,56||110,15||56,77||54,26||54,26||49,49||67,61||179,76||201,61||261,02||2073,06|1,1|'150-70'|'Зависимая'|1|'нет'|
49|1201049|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1869,26|1590,35|249,93||171,72||137,05||73,85||40,11||34,57||34,57||32,75||43,12||161,51||145,02||198,22||1515,59|0,75|'150-70'|'Зависимая'|1|'нет'|
50|1201050|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2105,58|2067,53|313,63||230,26||174,39||118,97||61,99||28,92||28,92||24,53||56,31||187,72||192,59||234,451852||1936,491852|1|'150-70'|'Зависимая'|1|'нет'|
51|1201051|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1519,84|1469,16|218,62||156,31||125,43||59,57||33,29||28,52||28,52||25,84||35,52||120,88||137,96||166,73||1310,19|0,72|'150-70'|'Зависимая'|1|'нет'|
52|1201052|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2112,97|2038,4|314,26||219,48||186,33||89,7||54,01||42,57||42,57||42,19||56,67||192,02||185,38||232,88||1908,28|1,03|'150-70'|'Зависимая'|1|'нет'|
53|1201053|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||2031,57|2031,16|289,65||231,21||178,92||98,92||53,18||43,08||43,08||38,85||57,78||206||195,46||227,46||1903,68|1,03|'150-70'|'Зависимая'|1|'нет'|
54|1201054|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1853,64|2048,15|312,4||228,9||162,16||90,48||44,69||38,58||38,58||43,4||59,86||167,16||182,01||224,31||1848,3|1,05|'150-70'|'Зависимая'|1|'нет'|
55|1201055|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1762,53|1589,5|261,06||187,02||123,95||73,65||32,33||33,7||33,7||30,46||40,78||147,79||143,26||180,15||1501,84|0,7|'150-70'|'Зависимая'|1|'нет'|
