'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'|||||||||||||||||||||||||||||||||||||
'МОСКОВСКОГО  района'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
36|'московский'|'"""Звездное"""'|'Алтайская ул.'|41|||1201036|'част.управл.орг.с гос.участием'|||'1-528 К'|1959|1|5||4|80|3453||3434|19|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
37|'московский'|'"""Звездное"""'|'Алтайская ул.'|43|||1201037|'част.управл.орг.с гос.участием'|||'1-528 К'|1959|1|5||2|39|1592||1549|43|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||0||
38|'московский'|'"""Гагаринское"""'|'Бассейная ул.'|63|||1201038|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-5'|1962|3|5||5|100|4579||4530|49|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
39|'московский'|'"""Гагаринское"""'|'Бассейная ул.'|65|||1201039|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6'|1962|3|5||4|80|3597||3545|52|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
40|'московский'|'"""Гагаринское"""'|'Бассейная ул.'|67|||1201040|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6'|1962|3|5||6|118|5454||5404|50|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
41|'московский'|'"""Гагаринское"""'|'Бассейная ул.'|69|||1201041|'част.управл.орг.с гос.участием'|||'1-507-ЛГ-6'|1963|3|5||6|118|5455||5407|48|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
42|'московский'|'"""Гагаринское"""'|'Бассейная ул.'|71|||1201042|'част.управл.орг.с гос.участием'|||'1-ЛГ-507-6Т'|1963|3|5||6|110|5533||5062|471|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
43|'московский'|'"""Гагаринское"""'|'Бассейная ул.'|75|||1201043|'част.управл.орг.с гос.участием'|||'1-ЛГ-507'|1962|3|5||6|110|5447||5045|402|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
44|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|19|2||1201044|'част.управл.орг.с гос.участием'|||'АС-13'|1979|3|9||1|134|5561||4393|1168|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|1||1||
45|'московский'|'"""Гагаринское"""'|'Витебский   пр.'|21|3||1201045|'част.управл.орг.с гос.участием'|||'1-ЛГ-504-3'|1965|3|5||7|139|6932||6871|61|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|1||1||
