1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
705|'03_000711'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
706|'03_000712'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
711|'03_000717'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
715|'03_000721'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
719|'03_000725'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
727|'03_000733'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
731|'03_000737'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
746|'03_000752'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
747|'03_000753'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
748|'03_000754'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
749|'03_000755'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
750|'03_000756'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
751|'03_000757'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
752|'03_000758'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
753|'03_000759'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
776|'03_000782'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
804|'03_000814'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
846|'03_000859'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
851|'03_000864'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
927|'03_000943'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
964|'03_000983'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
985|'03_001004'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
986|'03_001005'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
988|'03_001007'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
989|'03_001008'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1038|'03_001057'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1136|'03_001157'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1175|'03_001197'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1223|'03_001245'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1224|'03_001246'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1225|'03_001247'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1227|'03_001249'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1228|'03_001250'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1229|'03_001251'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1230|'03_001252'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1231|'03_001253'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1233|'03_001255'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1234|'03_001256'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1235|'03_001257'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1236|'03_001258'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1237|'03_001259'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1238|'03_001260'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1239|'03_001261'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1240|'03_001262'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1241|'03_001263'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1264|'03_001286'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1277|'03_001299'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1295|'03_001321'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1310|'03_001336'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1316|'03_001343'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
1355|'03_001382'|||||'Отопление'|'Гкал'||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
||'Примечания:'|||||||||||||||||||||||||||||||||||||||||||||||||
||'"*- в столбце «МР» (метод расчета):'|||||||||||||||||||||||||||||||||||||||||||||||||
'Д – расчет по общедомовым узлам учета (ОДУУ)'|||||||||||||||||||||||||||||||||||||||||||||||||||
'Дср -   при выходе из строя ОДУУ по среднесуточному расходу, предшествующих выходу прибора учета из строя,  с учетом изменения температуры наружного воздуха'|||||||||||||||||||||||||||||||||||||||||||||||||||
'Р – по расчету (по нормативам, по нагрузкам)."'|||||||||||||||||||||||||||||||||||||||||||||||||||
||'** : график бывает 120-70 или 105-70 или 95-70 градусов по Цельсию.'|||||||||||||||||||||||||||||||||||||||||||||||||
