'Приложение № 1'||||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'||||||||||||||||||||||||||||||||||||||
'Выборгского района'||||||||||||||||||||||||||||||||||||||
'"Графы ""2""-""10"" заполнять по всем многоквартирным домам района"'||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Комментарии'|
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса (литера)'|'Номер строения'|'Уникаль ный код дома'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа / на сцепке / аварийный / культ. наследия'|'Тип дома'|'Серия дома'|'Год по стройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'Кол-во парадных'|'Кол-во квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'|||||||||||||||
'(да/нет)"'|'"ГВС'|||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'|||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'|||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'ЭЭ'|'ХВС'|'ГВС'|'ТЭ'|'Газ'||||||||||||||||||||||||||||||||
674|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|8|4||'03_000680'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
675|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|8|5||'03_000681'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
676|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|8|6||'03_000682'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
677|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|10|1||'03_000683'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
678|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|10|3||'03_000684'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
679|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|12|1||'03_000685'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
680|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|12|2||'03_000686'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
681|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|12|3||'03_000687'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
682|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|12|4||'03_000688'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
683|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|1||'03_000689'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
684|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|2||'03_000690'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
685|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|3||'03_000691'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
686|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|4||'03_000692'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
687|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|5||'03_000693'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
688|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|6||'03_000694'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
689|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|7||'03_000695'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
690|'Выборгский'|'"""Светлановское"""'|'Осиновая роща Юкковское '|14|8||'03_000696'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ООО ""Сплав Т"""'
698|'Выборгский'||'п.Парголово, в\г № 53, инв.№7'||||'03_000704'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ОАО ""Славянка"" (госконтракт)"'
699|'Выборгский'||'п.Парголово, в\г № 53, инв.№8'||||'03_000705'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ОАО ""Славянка"" (госконтракт)"'
700|'Выборгский'||'п.Парголово, в\г № 53, инв.№9'||||'03_000706'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'"ОАО ""Славянка"" (госконтракт)"'
705|'Выборгский'||'Парголовская'|11|1||'03_000711'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПбГПУ общежитие'
706|'Выборгский'||'Парголовская'|11|2||'03_000712'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПбГПУ общежитие'
