1|'06_000001'||||||||||||||||||||||||||||||||||||||||||||||||||'разгружен'
84|'06_000084'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||301.5|247.7|30.1|'Р'|29.7|'Р'|30.1|'Р'|31|'Р'|16.1|'Р'|6.8|'Р'|3.9|'Р'|6.7|'Р'|6.5|'Р'|22.4|'Р'|23.6|'Р'|23.6|'Р'|230.5|0.099|'130-70'|'зависимая'|1|
85|'06_000085'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||373.2|367.1|55|'Р'|54.7|'Р'|55.4|'Р'|56.5|'Р'|28.8|'Р'|10.9|'Р'|6.3|'Р'|10.9|'Р'|10.5|'Р'|35.5|'Р'|37.5|'Р'|37.5|'Р'|399.5|0.1345|'130-70'|'зависимая'|1|
86|'06_000086'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||80||'130/70'|'да'|||||||265.7|233|29.9|'Р'|29.9|'Р'|30|'Р'|31.3|'Р'|15.8|'Р'|7.1|'Р'|4.1|'Р'|7|'Р'|6.8|'Р'|22.7|'Р'|23.9|'Р'|23.9|'Р'|232.4|0.08|'130-70'|'зависимая'|1|
87|'06_000087'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||50||'130/70'|'да'|||||||453.2|421.7|52.5|'Р'|52.2|'Р'|52.8|'Р'|53.2|'Р'|28.8|'Р'|12.4|'Р'|7.2|'Р'|12.3|'Р'|11.9|'Р'|38.1|'Р'|40.1|'Р'|40.1|'Р'|401.6|0.1419|'130-70'|'зависимая'|1|
88|'06_000088'||||||||||||||||||||||||||||||||||||||||||||||||||
89|'06_000089'||||||||||||||||||||||||||||||||||||||||||||||||||
90|'06_000090'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||50||'130/70'|'да'|||||||817|681.4|77.2|'Р'|77.2|'Р'|75.4|'Р'|74.9|'Р'|41.4|'Р'|18.7|'Р'|20.3|'Р'|23.4|'Р'|22.4|'Р'|63.9|'Р'|50.2|'Д'|86.7|'Д'|631.7|0.2321|'130-70'|'зависимая'|1|
91|'06_000091'||||||||||||||||||||||||||||||||||||||||||||||||||
92|'06_000092'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|1||89||'130/70'|'да'|||||||697.7|670.2|111.8|'Д'|109.2|'Д'|140.2|'Д'|49.9|'Д'|57.5|'Р'|20.4|'Р'|22.2|'Р'|25.5|'Р'|24.4|'Р'|65.7|'Р'|50.5|'Д'|86.3|'Д'|763.6|0.2008|'130-70'|'зависимая'|1|
93|'06_000093'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|10||89||'130/70'|'да'|||||||1246.6|1308.9|161|'Р'|161|'Р'|157.4|'Р'|156.4|'Р'|88|'Р'|40.1|'Р'|43.6|'Р'|50.1|'Р'|48|'Р'|124.1|'Р'|129.9|'Р'|131.5|'Р'|1291.1|0.2858|'130-70'|'зависимая'|10|
94|'06_000094'||||||||||||||||||||||||||||||||||||||||||||||||||
95|'06_000095'||||||||||||||||||||||||||||||||||||||||||||||||||
96|'06_000096'||||||||||||||||||||||||||||||||||||||||||||||||||
97|'06_000097'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||653.4|634.4|86.8|'Р'|86.8|'Р'|86.8|'Р'|86|'Р'|45.7|'Р'|17.6|'Р'|18.9|'Р'|22|'Р'|22|'Р'|62|'Р'|44|'Д'|72|'Д'|650.6|0.183|'130-70'|'зависимая'||
98|'06_000098'||||||||||||||||||||||||||||||||||||||||||||||||||
99|'06_000099'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||1045|1025.2|137.5|'Р'|137.5|'Р'|137.5|'Р'|136.2|'Р'|72.3|'Р'|26.4|'Р'|28.3|'Р'|32.9|'Р'|32.9|'Р'|98.5|'Р'|69.7|'Д'|118.4|'Д'|1028.1|0.2976|'130-70'|'зависимая'||
100|'06_000100'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|||76||'130/70'|'да'|||||||695.9|648.5|87.8|'Р'|87.8|'Р'|87.8|'Р'|87|'Р'|46.1|'Р'|16.3|'Р'|17.5|'Р'|20.4|'Р'|20.4|'Р'|61.3|'Р'|43.3|'Д'|69.1|'Д'|644.8|0.205|'130-70'|'зависимая'||
101|'06_000101'||||||||||||||||||||||||||||||||||||||||||||||||||
102|'06_000102'||||||||||||||||||||||||||||||||||||||||||||||||||
103|'06_000103'||||||||||||||||||||||||||||||||||||||||||||||||||
104|'06_000104'||||||||||||||||||||||||||||||||||||||||||||||||||
105|'06_000105'||||||||||||||||||||||||||||||||||||||||||||||||||
106|'06_000106'||||||||||||||||||||||||||||||||||||||||||||||||||
107|'06_000107'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'ООО ЖКС 1 Колпинского района'||'Гкал'|0||50||'95/70'|'нет'||||||||341.9|58.7|'Р'|58.7|'Р'|58.7|'Р'|58.5|'Р'|17|'Р'|0||0||0||0||34.9|'Р'|34.9|'Р'|34.9|'Р'|356.3|0.1347|'95-70'|'зависимая'|0|
