26|17000026|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
27|17000027|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
28|17000028|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
29|17000029|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
30|17000030|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
31|17000031|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
32|17000032|'ОАОТГК-1'|'ИТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
33|17000033|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
34|17000034|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
35|17000035|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
36|17000036|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
37|17000037|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|1|||||'да'||||||||||||||||||||||||||||||||||||||
38|17000038|'ОАОТГК-1'|'ЦТП'||'мкд'|'отопление'|'Гкал'|3|||||'да'||||||||||||||||||||||||||||||||||||||
39|17000039|'Открытое акционерное общество Теплосеть Санкт-Петербурга'|'ИТП'|'открытая'|'ТСЖ «Белградская 46»'|'отопление'|'Гкал'|1||50||'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'С 01.07.2013г. Перешел в "ЖКС №2 Фрунзенского района"'|||||||||||||||56.59|'Д'|68.82|'Д'|63.03|'Д'|179.63|'Д'|163.41|'Д'|227.28|'Д'|758.76|0.89|'150-70'|'зависимая'|1|'разгружен'
40|17000040|'Государственное унитарное предприятие Топливно-энергетический комплекс Санкт-Петербурга'|'ЦТП'|'закрытая'|'Общество с Ограниченной Ответственностью Жилкомсервис №2 Фрунзенского района'|'отопление'|'Гкал'|2||100|6|'150/70'|'да'|'нет'|'да'|'нет'||'нет'|'-'|1974.79|1856.27|236.64|'Д'|216.64|'Д'|198.2|'Д'|155.06|'Д'|75.63|'Д'|28.73|'Д'|33.8755102041|'Д'|31.38|'Д'|29.26|'Д'|112.73|'Д'|127.14|'Д'|178.23|'Д'|1423.5155102041|0.57|'150-70'|'зависимая'|1|'разгружен'
