29|2000130|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'112.88'||'68.02'||'93.74'||'57.96'||'8.68'||0||0||0||||97||'61.39'||83||'582.67'|'85.02'||'зависимая'|1|
30|2000131|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'нет'|||||||||'362.77'||'216.96'||'137.27'||'188.36'||'36.4'||0||0||0||||'201.44'||'162.76'||'202.93'||'1508.89'|'199.62'||'зависимая'|1|
31|2000132|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'да'|||||||||'46.11'||'28.37'||'32.01'||'25.22'||'11.93'||'13.16'||'2.49'||'3.22'||||'28.28'||'23.03'||'30.59'||'244.42'|'51.46'||'зависимая'||
32|2000134|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'91.12'||'76.8'||'86.12'||'38.1'||'10.78'||'11.51'||'8.54'||'11.74'||||'66.9'||'58.96'||'66.18'||'526.75'|'106.8354'||'зависимая'|1|
33||'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'нет'|||||||||||||||||||||||||||||||||0|||'зависимая'||
34|2000135|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'да'|||||||||||||||||||0||0||0||||||||||0|||'зависимая'||
35|2000136|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'||||8|'105/70'|'да'|||||||||'67.3'||'51.41'||'63.64'||'29.21'||'3.35'||'3.58'||'1.65'||'1.53'||||'26.19'||'28.26'||'31.49'||'307.61'|'81.18'||'зависимая'||
36|2000137|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'296.95'||'177.66'||'261.7'||'189.77'||'34.91'||'28.62'||'17.38'||'15.04'||||'144.1'||'155.75'||'188.89'||'1510.77'|'341.88'||'зависимая'|1|
37|2000138|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'67.2'||'67.18'||'67.18'||'83.12'||'21.31'||0||0||0||||||||'86.02'||'392.01'|'88.72'||'зависимая'|1|
38|2001563|'ОАО ТЕПЛОСЕТЬ ТГК-1'|'ИТП'|'открытая'|'ООО ЖКС № 1 В.О. р-на'|'отопление'|'Гкал'|1|||8|'105/70'|'да'|||||||||'332.17'||'214.89'||'318.96'||'251.234'||'18.21'||'1.13'||'0.66'||'0.46'||||'143.9'||'175.35'||'262.3'||'1719.27'|'218.1'||'зависимая'|1|
