||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
17|8017|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||2427,07|3019,16|445,78|'Д'|315,94|'Д'|496,1|'Д'|242,97|'Д'|24,57|'Д'|||||||||274,48|'Д'|229,84|'Д'|385,53|'Д'|2415,21|1,22|'105/70'|'зависимая'|2|'О'|
18|8018|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||1673,14|1308,6|172,94|'Д'|127,13|'Д'|167,61|'Д'|79,56|'Д'|17,57|'Д'|||||||||127,42|'Д'|89,48|'Д'|195,12|'Д'|976,83|0,001|'105/70'|'зависимая'|1|'О'|
19|8019|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|4|'открытая'|108|0|'150/70'|'да'|0|'да'|'нет'|0|0||5359,24|5135,44|775,8|'Д'|569,26|'Д'|778,16|'Д'|487,76|'Д'|85,02|'Д'|||||||||544,9|'Д'|361|'Д'|725,61|'Д'|4327,51|2,21|'105/70'|'зависимая'|4|'О'|
20|8020|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||3111,03|2666,3|466,01|'Д'|385,1|'Д'|467,26|'Д'|297,45|'Д'|48,27|'Д'|||||||||294,6|'Д'|194,12|'Д'|410,76|'Д'|2563,57|1,16|'105/70'|'зависимая'|2|'О'|
21|8021|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||2214,43|1723,69|335,65|'Д'|232,82|'Д'|354,53|'Д'|221,88|'Д'|31,79|'Д'|||||||||241,94|'Д'|210,22|'Д'|311,69|'Д'|1940,52|0,94|'105/70'|'зависимая'|2|'О'|
22|8022|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||1280,16|1063,52|213,56|'Д'|146,32|'Д'|202,22|'Д'|111,08|'Д'|24,47|'Д'|||||||||134,82|'Д'|91,01|'Д'|188,07|'Д'|1111,55|0,066|'105/70'|'зависимая'|1|'О'|
23|8023|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|1|'открытая'|100|0|'150/70'|'да'|0|'да'|'нет'|0|0||2037,21|2203,63|366,62|'Д'|248,68|'Д'|345,22|'Д'|205,66|'Д'|39,31|'Д'|||||||||242,36|'Д'|167,83|'Д'|324,93|'Д'|1940,61|0,87|'105/70'|'зависимая'|1|'О'|
24|8024|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|6|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||8347|7066,31|1384,39|'Д'|971,24|'Д'|1330,33|'Д'|810,5|'Д'|146,79|'Д'|||||||||874,4|'Д'|600,66|'Д'|1160,89|'Д'|7279,2|3,43|'105/70'|'зависимая'|6|'О'|
25|8025|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|4|'открытая'|89|0|'150/70'|'да'|0|'да'|'нет'|0|0||5136,24|5189,65|997,78|'Д'|741,46|'Д'|912,71|'Д'|656,23|'Д'|164,49|'Д'|||||||||620,43|'Д'|503,16|'Д'|799,99|'Д'|5396,25|2,34|'105/70'|'независимая'|4|'О'|
26|8026|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||2376,84|2677,91|418,73|'Д'|384,74|'Д'|482,54|'Д'|303,95|'Д'|68,77|'Д'|||||||||329,56|'Д'|294,5|'Д'|399,34|'Д'|2682,13|1,18|'105/70'|'независимая'|2|'О'|
27|8027|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""СТРОИТЕЛЬ"""'|'тепловая энергия'|'Гккал'|2|'открытая'|80|0|'150/70'|'да'|0|'да'|'нет'|0|0||2618,84|2677,91|436,31|'Д'|350,86|'Д'|464,88|'Д'|294,14|'Д'|62,36|'Д'|||||||||296,91|'Д'|264,21|'Д'|357,24|'Д'|2526,91|1,14|'105/70'|'независимая'|2|'О'|
