||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
23|34123|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1113,37|1046,29|264,65|'д'|210,76|'д'|203,22|'д'|144,17|'д'|64,28|'д'|0|'д'|0|'д'|0|'д'|0|'д'|116,89|'д'|140,59|'д'|177,1|'д'|1321,66|0,5784|'105-70'|'зависимая'|1|'отсутствует'
24|34124|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1236|1242,37|321,69|'д'|257,8|'д'|249,74|'д'|172,885|'Д'|82,1|'д'|0|'д'|0|'д'|0|'д'|0|'д'|147,52|'д'|178,15|'д'|204,63|'д'|1614,515|0,74443|'105-70'|'зависимая'|2|'отсутствует'
25|34125|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2070,59|1934,98|404,66|'д'|313,17|'д'|313|'д'|278,493|'Д'|120,44|'д'|0|'д'|0|'д'|0|'д'|0|'д'|217,942|'д'|263,061|'д'|312,888|'д'|2223,654|0,96334|'105-70'|'зависимая'|4|'отсутствует'
26|34126|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|561,9|549,25|129,99|'д'|101,22|'д'|101,05|'д'|68,388|'Д'|28,4|'д'|0|'д'|0|'д'|0|'д'|0|'д'|52,068|'д'|58,283|'д'|78,273|'д'|617,672|0,23779|'105-70'|'зависимая'|1|'отсутствует'
27|34127|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1247,11|1433,62|194,42|'р'|194,42|'р'|194,42|'р'|194,42|'Р'|57,14|'р'|0|'р'|0|'р'|0|'р'|0|'р'|182,52|'р'|182,52|'р'|176,62|'р'|1376,48|0,67541|'105-70'|'зависимая'|2|'отсутствует'
28|34128|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1252,25|1436,72|193,5|'р'|193,5|'р'|193,5|'р'|193,5|'Р'|56,88|'р'|0|'р'|0|'р'|0|'р'|0|'р'|184,02|'р'|184,02|'р'|178,08|'р'|1377|0,67819|'105-70'|'зависимая'|2|'отсутствует'
29|34129|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|467,65|478,99|128,37|'д'|83,68|'д'|83|'д'|60,4|'д'|25,97|'д'|0|'д'|0|'д'|0|'д'|0|'д'|50,7|'д'|55,054|'д'|65,6|'д'|552,774|0,233|'105-70'|'зависимая'|1|'отсутствует'
30|34130|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|467,44|408,7|76,35|'р'|76,35|'р'|76,35|'р'|76,35|'р'|22,43|'р'|0|'р'|0|'р'|0|'р'|0|'р'|52,837|'д'|57,29|'д'|70,349|'д'|508,306|0,235|'105-70'|'зависимая'|1|'отсутствует'
31|34131|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2558,46|2886,06|837,81|'д'|652,6|'д'|683,7|'д'|430,54|'Д'|259,93|'д'|0|'д'|0|'д'|0|'д'|0|'д'|356,504|'д'|400,231|'д'|474,854|'д'|4096,169|1,557|'95/70'|'независимая'|1|'отсутствует'
32|34132|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2489,14|2833,09|896,71|'д'|649,09|'д'|592,47|'д'|436,61|'Д'|222,63|'д'|0|'д'|0|'д'|0|'д'|0|'д'|341,858|'д'|402,129|'д'|496,176|'д'|4037,673|1,557|'95/70'|'независимая'|1|'отсутствует'
33|34133|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1301,1|1622,07|448,81|'д'|304,09|'д'|301,07|'д'|223,473|'Д'|112,34|'д'|0|'д'|0|'д'|0|'д'|0|'д'|154,53|'д'|203,31|'д'|249,74|'д'|1997,363|0,7032|'105-70'|'зависимая'|2|'отсутствует'
34|34134|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|764,49|762,32|191,09|'д'|142,21|'д'|142,16|'д'|185,838|'д'|46,93|'д'|0|'д'|0|'д'|0|'д'|0|'д'|76,95|'д'|84,77|'д'|110,02|'д'|979,968|0,3991|'105-70'|'зависимая'|1|'отсутствует'
35|34135|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1347,43|1329,55|340,28|'д'|232,26|'д'|231,88|'д'|178,412|'Д'|79,69|'д'|0|'д'|0|'д'|0|'д'|0|'д'|133,996|'д'|151,274|'д'|193,406|'д'|1541,198|0,73828|'105-70'|'зависимая'|2|'отсутствует'
36|34136|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|1710,05|1690,35|462,68|'д'|330,6|'д'|324,13|'д'|180,268|'Д'|111,7|'д'|0|'д'|0|'д'|0|'д'|0|'д'|180,569|'д'|219,282|'д'|268,533|'д'|2077,762|0,82762|'105-70'|'зависимая'|2|'отсутствует'
