||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
338|342248|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||641,97|617,6|83,63|'Р'|82,88|'Р'|83,63|'Р'|83,63|'Р'|83,63|'Р'|15,85|'Р'|15,49|'Р'|14,68|'Р'|14,93|'Р'|73,45|'Р'|74,37|'Р'|74,37|'Р'|700,54|0,06729|'95-70'|'зависимая'|1|'разгружен'
339|342249|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|4|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1307,62|1987,95|307,3|'Р'|304,4|'Р'|306,85|'Р'|299,13|'Р'|295,87|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|304,1|'Р'|303,98|'Р'|299,03|'Р'|2420,66|0,11803|'95-70'|'зависимая'|4|'разгружен'
340|342250|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1122,72|1365,38|185,95|'Р'|184,25|'Р'|185,95|'Р'|185,94|'Р'|185,85|'Р'|34,73|'Р'|33,93|'Р'|31,2|'Р'|31,76|'Р'|177,72|'Р'|180,69|'Р'|166,33|'Р'|1584,3|0,12501|'95-70'|'зависимая'|1|'разгружен'
341|342251|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|2|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||860,4|1074,96|149,88|'Р'|142,7|'Р'|149,03|'Р'|137,38|'Р'|128,21|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|150,73|'Р'|150,54|'Р'|168,83|'Р'|1177,3|0,13031|'95-70'|'зависимая'|1|'разгружен'
342|342252|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||590,66|622,16|79,48|'Р'|74,28|'Р'|78,69|'Р'|70,29|'Р'|61,34|'Р'|16,84|'Р'|16,51|'Р'|13,88|'Р'|14,2|'Р'|72,05|'Р'|74,59|'Р'|89,87|'Р'|662,02|0,29917|'95-70'|'зависимая'|1|'разгружен'
343|342253|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||364,61|436,43|57,82|'Р'|56,5|'Р'|57,61|'Р'|54,66|'Р'|52,6|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|60,03|'Р'|59,97|'Р'|75,03|'Р'|474,22|0,22895|'95-70'|'зависимая'|1|'разгружен'
344|342254|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||548,58|596,46|78,85|'Р'|77,6|'Р'|78,77|'Р'|77,76|'Р'|76,64|'Р'|16,1|'Р'|15,89|'Р'|15,6|'Р'|15,88|'Р'|72,23|'Р'|72,43|'Р'|72,88|'Р'|670,63|0,17505|'95-70'|'зависимая'|1|'разгружен'
345|342255|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||438,8|594,5|77,95|'Р'|77,22|'Р'|77,95|'Р'|77,95|'Р'|77,95|'Р'|16,1|'Р'|16,1|'Р'|15,77|'Р'|15,87|'Р'|75,98|'Р'|76,21|'Р'|76,21|'Р'|681,26|0,14166|'95-70'|'зависимая'|1|'разгружен'
346|342256|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||673,51|212,15|23,62|'Р'|23,03|'Р'|23,68|'Р'|22,76|'Р'|21,1|'Р'|5,51|'Р'|5,45|'Р'|4,54|'Р'|4,8|'Р'|21,59|'Р'|0|'Р'|0|'Р'|156,08|0,0616|'95-70'|'зависимая'|0|'разгружен'
347|342257|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|3|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||1476,8|1575,25|239,63|'Р'|234,86|'Р'|238,54|'Р'|237,75|'Р'|229,1|'Р'|7,44|'Р'|7,95|'Р'|7,44|'Р'|7,97|'Р'|211,45|'Р'|210,92|'Р'|212,65|'Р'|1845,7|0,33581|'95-70'|'зависимая'|3|'разгружен'
348|342258|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||442,73|333,39|39|'Р'|38,66|'Р'|39|'Р'|38,88|'Р'|39|'Р'|8,94|'Р'|8,94|'Р'|4,59|'Р'|4,59|'Р'|31,75|'Р'|36,1|'Р'|36,1|'Р'|325,55|0,1205|'95-70'|'зависимая'|2|'разгружен'
349|342259|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||174,07|183,65|29,29|'Р'|28,57|'Р'|29,25|'Р'|28,83|'Р'|28,43|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|28,96|'Р'|28,95|'Р'|28,46|'Р'|230,74|0,37567|'95-70'|'зависимая'|1|'разгружен'
350|342260|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||332,29|339,1|40,19|'Р'|39,86|'Р'|40,19|'Р'|40,19|'Р'|40,19|'Р'|9,16|'Р'|9,16|'Р'|9,1|'Р'|9,16|'Р'|37,93|'Р'|37,93|'Р'|37,93|'Р'|350,99|0,17987|'95-70'|'зависимая'|1|'разгружен'
351|342261|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||437,19|238,5|25,05|'Р'|24,44|'Р'|25,11|'Р'|24,15|'Р'|22,53|'Р'|5,91|'Р'|5,85|'Р'|5,84|'Р'|6,08|'Р'|23,68|'Р'|23,7|'Р'|24,58|'Р'|216,92|0,12217|'95-70'|'зависимая'|0|'не разгружен'
352|342262|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||563,26|272,91|26,91|'Р'|26,25|'Р'|26,99|'Р'|25,94|'Р'|23,83|'Р'|7,46|'Р'|7,38|'Р'|7,37|'Р'|7,69|'Р'|25,4|'Р'|25,42|'Р'|26,53|'Р'|237,17|0,12926|'95-70'|'зависимая'|0|'не разгружен'
353|342263|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||350,62|344,69|43,11|'Р'|42,71|'Р'|43,11|'Р'|43,1|'Р'|42,93|'Р'|10,23|'Р'|10,01|'Р'|17,26|'Р'|17,38|'Р'|41,37|'Р'|41,38|'Р'|41,4|'Р'|393,99|0,26728|'95-70'|'зависимая'|0|'разгружен'
354|342264|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||390,53|464,3|54,87|'Р'|61,38|'Р'|63,7|'Р'|54,87|'Р'|0,85|'Р'|13,95|'Р'|13,95|'Р'|12,27|'Р'|12,35|'Р'|47,66|'Р'|49,26|'Р'|49,26|'Р'|434,37|0,5333|'95-70'|'зависимая'|1|'не разгружен'
355|342265|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||986,4|496,55|49,8|'Р'|48,61|'Р'|50,73|'Р'|48,17|'Р'|44,86|'Р'|11,94|'Р'|11,81|'Р'|16,13|'Р'|16,66|'Р'|51,53|'Р'|47,23|'Р'|48,88|'Р'|446,35|0,21936|'95-70'|'зависимая'|0|'не разгружен'
356|342266|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||580,39|720,96|124,51|'Р'|127,77|'Р'|127,77|'Р'|127,77|'Р'|127,77|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|104,03|'Р'|104,03|'Р'|104,03|'Р'|947,68|0,10763|'95-70'|'зависимая'|1|'разгружен'
357|342267|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||447,4|460,9|55,77|'Р'|55,27|'Р'|55,77|'Р'|55,76|'Р'|55,65|'Р'|13,91|'Р'|13,69|'Р'|12,46|'Р'|12,56|'Р'|51,88|'Р'|53,02|'Р'|53,04|'Р'|488,78|0,24589|'95-70'|'зависимая'|0|'не разгружен'
358|342268|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||996,02|359,88|34,7|'Р'|34,3|'Р'|34,69|'Р'|34,47|'Р'|34,26|'Р'|9,3|'Р'|9,3|'Р'|9,3|'Р'|9,3|'Р'|32,92|'Р'|32,92|'Р'|32,82|'Р'|308,28|0,12217|'95-70'|'зависимая'|2|'не разгружен'
359|342269|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||371,96|356,61|44,18|'Р'|43,62|'Р'|44,15|'Р'|43,79|'Р'|43,44|'Р'|10,28|'Р'|10,28|'Р'|10,44|'Р'|10,51|'Р'|42,02|'Р'|41,79|'Р'|41,95|'Р'|386,45|0,17276|'95-70'|'зависимая'|1|'разгружен'
360|342270|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||370,8|242,17|24,45|'Р'|23,91|'Р'|24,5|'Р'|23,74|'Р'|22,25|'Р'|6,38|'Р'|6,33|'Р'|7,24|'Р'|7,49|'Р'|24,17|'Р'|23,25|'Р'|23,9|'Р'|217,61|0,11293|'95-70'|'зависимая'|0|'не разгружен'
361|342271|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||370,8|238,98|26,09|'Р'|25,54|'Р'|26,14|'Р'|25,38|'Р'|23,89|'Р'|7,29|'Р'|7,24|'Р'|5,18|'Р'|5,43|'Р'|22,94|'Р'|24,99|'Р'|25,63|'Р'|225,74|0,24211|'95-70'|'зависимая'|0|'не разгружен'
362|342272|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||352,57|212,86|19,24|'Р'|18,58|'Р'|19,25|'Р'|18,21|'Р'|15,81|'Р'|5,12|'Р'|5,03|'Р'|5,48|'Р'|5,87|'Р'|17,69|'Р'|17,25|'Р'|18,43|'Р'|165,96|0,1735|'95-70'|'зависимая'|1|'разгружен'
363|342273|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||151,49|195,07|30,1|'Р'|29,49|'Р'|30,19|'Р'|29,6|'Р'|28,31|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|31,16|'Р'|31,21|'Р'|31,61|'Р'|241,67|0,14682|'95-70'|'зависимая'|0|'не разгружен'
364|342274|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||701,87|679,08|91,09|'Д'|122,93|'Д'|114,81|'Д'|61,69|'Д'|28,65|'Д'|6,65|'Д'|4,94|'Д'|4,93|'Д'|5,98|'Д'|44|'Д'|49,08|'Д'|64,28|'Д'|599,03|0,22946|'95-70'|'зависимая'|1|'не разгружен'
365|342275|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||225,64|201,51|12,65|'Д'|12,19|'Д'|12,43|'Д'|20,17|'Д'|7,48|'Д'|2,25|'Д'|2,15|'Д'|1,88|'Д'|1,84|'Д'|14,42|'Д'|16,07|'Д'|21,11|'Д'|124,64|0,09718|'95-70'|'зависимая'|0|'не разгружен'
366|342276|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||307,24|309,85|34,66|'Р'|32,08|'Р'|34,77|'Р'|29,32|'Р'|22,27|'Р'|9,75|'Р'|9,54|'Р'|6,56|'Р'|7,25|'Р'|24,08|'Р'|26,94|'Р'|31,55|'Р'|268,77|0,06878|'95-70'|'зависимая'|0|'не разгружен'
367|342277|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||799,76|417,33|46,76|'Р'|46,73|'Р'|47,51|'Р'|46,17|'Р'|43,89|'Р'|10,74|'Р'|10,44|'Р'|8,76|'Р'|9,15|'Р'|35,58|'Р'|37,41|'Р'|38,43|'Р'|381,57|0,10018|'95-70'|'зависимая'|0|'не разгружен'
368|342278|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||280,7|560,34|59,85|'Р'|57,4|'Р'|59,96|'Р'|55,22|'Р'|48,83|'Р'|19,1|'Р'|18,8|'Р'|13,04|'Р'|13,86|'Р'|44,09|'Р'|49,71|'Р'|53,68|'Р'|493,54|0,16849|'95-70'|'зависимая'|0|'не разгружен'
369|342279|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||650,1|426,97|44,42|'Р'|44,76|'Р'|45,04|'Р'|44,63|'Р'|44,4|'Р'|11,56|'Р'|11,32|'Р'|9,43|'Р'|9,44|'Р'|38,66|'Р'|40,43|'Р'|40,43|'Р'|384,52|0,10559|'95-70'|'зависимая'|1|'не разгружен'
370|342280|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||245,28|321,64|43,77|'Р'|43,44|'Р'|43,77|'Р'|43,77|'Р'|43,77|'Р'|11,5|'Р'|11,38|'Р'|10,37|'Р'|10,59|'Р'|29,95|'Р'|30,86|'Р'|30,71|'Р'|353,88|0,12665|'95-70'|'зависимая'|1|'не разгружен'
371|342281|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||205,83|249,17|36,73|'Р'|36,74|'Р'|37,24|'Р'|36,6|'Р'|36,29|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|34,57|'Р'|34,57|'Р'|34,57|'Р'|287,31|0,37129|'95-70'|'зависимая'|1|'не разгружен'
372|342282|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||316,72|508,45|76,27|'Р'|73,06|'Р'|76,57|'Р'|70,66|'Р'|59,1|'Р'|26,26|'Р'|25,79|'Р'|25,59|'Р'|28,4|'Р'|60,7|'Р'|60,58|'Р'|66,07|'Р'|649,05|0,17657|'95-70'|'зависимая'|0|'не разгружен'
373|342283|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||191,42|194,37|27,91|'Р'|27,44|'Р'|28,37|'Р'|26,87|'Р'|24,62|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|26,12|'Р'|26,13|'Р'|26,02|'Р'|213,48|0,34288|'95-70'|'зависимая'|0|'не разгружен'
374|342284|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||912,72|545,85|80,82|'Р'|76,29|'Р'|48,88|'Р'|72,57|'Р'|55,65|'Р'|23,01|'Р'|22,46|'Р'|22,32|'Р'|26,09|'Р'|62,42|'Р'|62,22|'Р'|58,75|'Р'|611,48|0,28374|'95-70'|'зависимая'|0|'не разгружен'
375|342285|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||162,51|167,09|22,68|'Р'|22,39|'Р'|22,99|'Р'|22,59|'Р'|22,4|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|22,06|'Р'|22,06|'Р'|22,06|'Р'|179,23|0,12133|'95-70'|'зависимая'|1|'разгружен'
376|342286|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|80|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||244,47|316,35|34,07|'Р'|33,81|'Р'|66,45|'Р'|34,07|'Р'|34,07|'Р'|9,28|'Р'|9,18|'Р'|5,05|'Р'|5,16|'Р'|24,44|'Р'|28,56|'Р'|28,4|'Р'|312,54|0,17838|'95-70'|'зависимая'|1|'не разгружен'
377|342287|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|80|'7АТИ'|'145/95'|'нет'|'нет'|'да'|'нет'|'элеваторная'|'нет'||515,74|664,38|84,28|'Р'|82,74|'Р'|85,37|'Р'|82,84|'Р'|81,21|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|93,16|'Р'|93,13|'Р'|49,75|'Р'|652,48|0,17169|'95-70'|'зависимая'|1|'не разгружен'
378|342288|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'нет'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||323,45|336,26|43,55|'Р'|41,79|'Р'|43,96|'Р'|40,77|'Р'|38,05|'Р'|0|'Р'|0|'Р'|0|'Р'|0|'Р'|45,73|'Р'|45,69|'Р'|49,56|'Р'|349,1|0,18831|'95-70'|'зависимая'|0|'не разгружен'
379|342289|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||216,46|179,73|23,28|'Р'|23,07|'Р'|23,28|'Р'|23,28|'Р'|23,28|'Р'|4,43|'Р'|4,39|'Р'|4,13|'Р'|4,21|'Р'|17,9|'Р'|18,12|'Р'|18,01|'Р'|187,38|0,39706|'95-70'|'зависимая'|1|'не разгружен'
380|342290|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|1|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||996,4|545,97|57,96|'Р'|58,37|'Р'|58,77|'Р'|58,19|'Р'|57,84|'Р'|13,16|'Р'|12,99|'Р'|10,12|'Р'|10,14|'Р'|51,43|'Р'|54,4|'Р'|54,4|'Р'|497,77|0,18344|'95-70'|'зависимая'|1|'не разгружен'
381|342291|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 2 Приморского района"""'|'Отопление'|'Гкал'|0|'централизованная'|50|'7АТИ'|'145/95'|'да'|'нет'|'нет'|'нет'|'элеваторная'|'нет'||189,1|236,22|30,49|'Р'|29,98|'Р'|30,52|'Р'|29,96|'Р'|28,83|'Р'|8,06|'Р'|7,93|'Р'|7,18|'Р'|7,48|'Р'|25,74|'Р'|26,44|'Р'|26,92|'Р'|259,53|0,2411|'95-70'|'зависимая'|0|'не разгружен'
