'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД), '|||||||||||||||||||||||||||||||||||||
'"находящихся в управлении ООО ""ЖКС №№ 1-4"", ОАО ""РСУ Приморского района"""'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
25|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|30|1||34125|'ООО ЖКС №1'||'Панельный'|137|1994|'Панельные'|12|0|4|236|12335,9|12335,9|12139,5|196,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|8|2|2|4|4|0|
26|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|34|1||34126|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1995|'Кирпичные'|10|0|1|50|2769,2|2769,2|2689,6|79,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|1|2|2|1|1|0|
27|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|52|1||34127|'ООО ЖКС №1'||'Панельный'|'другое'|1995|'Панельные'|6|0|6|143|8393,5|8393,5|8294,7|98,8|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|2|0|2|0|
28|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|54|1||34128|'ООО ЖКС №1'||'Панельный'|'другое'|1996|'Панельные'|6|0|6|137|8467,8|8467,8|8366,3|101,5|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|2|0|2|0|
29|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|54|2||34129|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1999|'Кирпичные'|10|0|1|47|3210,3|3210,3|2597,2|613,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|1|2|2|1|1|0|
30|'Приморский '|'Муниципальный округ № 65'|'Камышовая'|56|2||34130|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1999|'Кирпичные'|10|0|1|47|3261,2|3261,2|2629,9|631,3|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|1|2|2|1|1|0|
31|'Приморский '|'Муниципальный округ № 65'|'Мебельная'|21|2||34131|'ООО ЖКС №1'||'Панельный'|'другое'|2009|'Панельные'|25|0|3|345|23643,2|23643,2|23175,3|467,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|12|5|4|0|1|0|
32|'Приморский '|'Муниципальный округ № 65'|'Оптиков'|34|2||34132|'ООО ЖКС №1'||'Панельный'|'другое'|2009|'Панельные'|25|0|3|290|23765,8|23765,8|23286,9|478,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|12|5|4|0|1|0|
33|'Приморский '|'Муниципальный округ № 65'|'Планерная'|19|1||34133|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|12|0|2|214|10953,1|10953,1|10847,5|105,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|3|3|1|2|0|
34|'Приморский '|'Муниципальный округ № 65'|'Планерная'|21|2||34134|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|10|0|2|79|4776,4|4776,4|4685,7|90,7|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|2|2|1|0|
35|'Приморский '|'Муниципальный округ № 65'|'Планерная'|21|3||34135|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|10|0|4|159|8961,6|8961,6|8770,6|191|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|2|2|4|2|0|
36|'Приморский '|'Муниципальный округ № 65'|'Планерная'|23|1||34136|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|12|0|3|177|11119,1|11119,1|10988,4|130,7|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|3|2|0|
37|'Приморский '|'Муниципальный округ № 65'|'Планерная'|27|1||34137|'ООО ЖКС №1'||'Панельный'|'индивидуальный'|1990|'Панельные'|10|0|2|79|4773,4|4773,4|4671,6|101,8|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|2|1|1|0|
38|'Приморский '|'Муниципальный округ № 65'|'Приморский'|139|||34138|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|6|0|5|119|6713,8|6713,8|6602,2|111,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|5|3|1|1|1|0|
39|'Приморский '|'Муниципальный округ № 65'|'Приморский'|141|3||34139|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1992|'Кирпичные'|'12/14'|0|1|69|4058,3|4058,3|3655,7|402,6|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|3|1|1|0|
40|'Приморский '|'Муниципальный округ № 65'|'Приморский'|145|3||34140|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1992|'Кирпичные'|'12/14'|0|1|71|4051,3|4051,3|3684,2|367,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|3|0|1|1|0|
41|'Приморский '|'Муниципальный округ № 65'|'Приморский'|147|||34141|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|6|0|5|119|6772,1|6772,1|6710,3|61,8|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|5|3|1|1|1|0|
42|'Приморский '|'Муниципальный округ № 65'|'Приморский'|159|||34142|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1995|'Кирпичные'|'12/16'|0|2|136|8045,1|8045,1|7819,9|225,2|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|2|0|1|2|0|
43|'Приморский '|'Муниципальный округ № 65'|'Приморский'|161|||34143|'ООО ЖКС №1'||'Панельный'|137|1995|'Панельные'|12|0|3|177|9309,1|9309,1|9117,6|191,5|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|3|1|3|0|
44|'Приморский '|'Муниципальный округ № 65'|'Приморский'|169|||34144|'ООО ЖКС №1'||'Панельный'|137|1993|'Панельные'|12|0|3|176|9569,2|9569,2|9376,3|192,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|3|3|3|0|
45|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|107|1||34145|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|'6/9'|0|13|381|21472,5|21472,5|21265,6|206,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|13|4|2|1|6|0|
46|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|115|1||34146|'ООО ЖКС №1'||'Панельный'|'другое'|1990|'Панельные'|'6/9'|0|10|260|15076,5|15076,5|14702,2|374,3|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|10|3|2|0|4|0|
47|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|115|3||34147|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|'12/17'|0|5|428|22942,1|22942,1|22568|374,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|10|5|6|0|4|0|
48|'Приморский '|'Муниципальный округ № 65'|'Савушкина'|123|3||34148|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|12|0|2|118|6177,4|6177,4|6066,3|111,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|4|3|1|1|0|
