|'Приложение№1'|||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||
'№№ п/п'|'Адрес МКД'||||||||||'                                                                                       Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на водах, шт.'|||||'Комментарии'||
|'Район'|'Муниципальное образование'|'Наименование улицы, номер дома'|'Номер дома'|'Номер корпуса'|'Номер строения'|'Уникаль ный код дома'|'Форма управления МКД'|'Управляющая компания'|'Категория дома: ведомственный / общежитие / гостиничного типа / на сцепке / аварийный / культ. наследия'|'Тип дома'|'Серия дома'|'Год постройки'|'"Код материала стен '||||||||||||||||||||||||||
'(1 - кирпич., '||||||||||||||||||||||||||||||||||||||||
'2 - деревян., '||||||||||||||||||||||||||||||||||||||||
'3 - панельн.) "'|'Количество этажей'|'Количество подземных этажей'|'Коли-чество подъ-ездов'|'Количество квартир'|'"Общая площадь дома,'|||||||||||||||||||||||||||||||||||
' м2"'|'Общая отапливаемая площадь строений, м2'|'Площаль жилых помещений, м2'|'"Нежилая площадь дома,'|||||||||||||||||||||||||||||||||||||
' м2"'|'Электроэнергия (да/нет)'|'ХВС  (да/нет)'|'ГВС  (да/нет)'|'Водоотведение  (да/нет)'|'Отопление  (да/нет)'|'Газоснабжение  (да/нет)'|'Газовые колонки  (да/нет)'|'Газовые плиты  (да/нет)'|'Электроплиты  (да/нет)'|'Количество лифтов, шт.'|'ЭЭ'|'ХВС'|'ГВС'|'ТЭ'|'Газ'|||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9||10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38||
||||||||||||||||||||||||||||||||||||||||
60|'Невский'||'Антонова-Овсеенко ул.'|1|2||'12_000060'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.кирпич'|'9664-А/16-К'|1979|'кирпич'|15||1|28|6321|5694||627|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|3|2|3|1|1||||
61|'Невский'||'Антонова-Овсеенко ул.'|3|||'12_000061'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.кирпич'|'9664-А/16-К'|1978|'кирпич'|15||1|28|7065|5714||1351|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|3|2|3|1|1||||
62|'Невский'||'Антонова-Овсеенко ул.'|5|2||'12_000062'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'БС1ЛГ-602В'|1977|'панель'|9||10|367|20828|20791||37|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|10|2|3|3|3||||
64|'Невский'||'Антонова-Овсеенко ул.'|9|2||'12_000064'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-606М'|1977|'панель'|9||7|244|14446|14252||194|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|7|2|2|2|2||||
65|'Невский'||'Антонова-Овсеенко ул.'|11|1||'12_000065'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'инд.'|1983|'кирпич'|1||0|0|784|0||784|'да'|'да'|'нет'|'да'|'да'|'нет'|'нет'|'нет'|'нет'|0|1|2||||||
66|'Невский'||'Антонова-Овсеенко ул.'|11|2||'12_000066'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-502'|1969|'панель'|5||9|134|6276|6276||0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1||||
67|'Невский'||'Антонова-Овсеенко ул.'|13|1||'12_000067'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-602'|1970|'панель'|9||9|324|17962|17749||213|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|9|2|2|2|2||||
68|'Невский'||'Антонова-Овсеенко ул.'|13|3||'12_000068'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-502'|1969|'панель'|5||9|134|6288|6274||14|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1||||
71|'Невский'||'Антонова-Овсеенко ул.'|19|1||'12_000071'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-502'|1970|'панель'|5||9|134|6392|6292||100|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1||||
73|'Невский'||'Антонова-Овсеенко ул.'|19|3||'12_000073'|'УПО'|'"ООО ""Жилкомсервис №1 Невского района"""'||'1970-1980гг.панель'|'1ЛГ-502В'|1969|'панель'|5||9|133|6290|6230||60|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1||||
