|||||||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
|||||||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
|||||||3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
16|'2- й Рабфаковский  пер.'|17|1||'12_000016'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||124,34|'Д'|119,6|'Д'|112,55|'Д'|96,91|'Д'|57,51|'Д'|34,2|'Д'|4,69|'Д'|17,58|'Д'|23,37|'Д'|69,1|'Д'|82,26|'Д'|102,16|'Д'|844,27|0,29622|'150\70'|'Зависимая'|1||
17|'2- й Рабфаковский  пер.'|3|||'12_000017'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||200,64|'Д'|190,88|'Д'|184,58|'Д'|151,34|'Д'|86,64|'Д'|47,98|'Д'|10,46|'Д'|27,69|'Д'|34,73|'Д'|99,98|'Д'|54,97|'Д'|70,7|'Д'|1160,59|0,92111|'150\70'|'Зависимая'|2||
18|'2- й Рабфаковский  пер.'|5|1||'12_000018'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ЦТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'95\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||85,88|'Р'|84,16|'Р'|85,88|'Р'|88,63|'Д'|42,76|'Д'|25,18|'Д'|12,72|'Д'|18,83|'Д'|19,33|'Д'|79,1|'Д'|24,54|'Д'|32,6|'Д'|599,61|0,92111|'95\70'|'Зависимая'|0||
19|'2- й Рабфаковский  пер.'|5|2||'12_000019'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||130,76|'Д'|117,55|'Д'|118,92|'Д'|102,54|'Д'|64,97|'Д'|37,44|'Д'|6,39|'Д'|22,6|'Д'|31,26|'Д'|80,88|'Д'|92,25|'Д'|115,19|'Д'|920,75|0,27261|'150\70'|'Зависимая'|1||
20|'2- й Рабфаковский  пер.'|5|3||'12_000020'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||125,4|'Д'|119,38|'Д'|105,58|'Д'|88,25|'Д'|58,47|'Д'|36,45|'Д'|5,12|'Д'|18,3|'Д'|25,13|'Д'|61,32|'Д'|76,77|'Д'|95,37|'Д'|815,54|0,2705|'150\70'|'Зависимая'|1||
21|'2- й Рабфаковский  пер.'|5|4||'12_000021'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||144,23|'Д'|133,21|'Д'|130,24|'Д'|102|'Д'|60,07|'Д'|33,96|'Д'|5,38|'Д'|19,26|'Д'|22,89|'Д'|81,24|'Д'|94,8|'Д'|116,1|'Д'|943,38|0,27261|'150\70'|'Зависимая'|1||
22|'2- й Рабфаковский  пер.'|5|5||'12_000022'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||93,4|'Р'|119,95|'Д'|115,42|'Д'|92,84|'Д'|58,1|'Д'|29,5|'Д'|9,45|'Д'|17,93|'Д'|24,39|'Д'|68,02|'Д'|78,31|'Д'|97,59|'Д'|804,9|0,2698|'150\70'|'Зависимая'|1||
23|'2- й Рабфаковский  пер.'|5|6||'12_000023'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||120,38|'Д'|115,41|'Д'|114,77|'Д'|91,19|'Д'|57,99|'Д'|29,34|'Д'|8,86|'Д'|17,48|'Д'|24,94|'Д'|67,9|'Д'|76,57|'Д'|96,99|'Д'|821,82|0,26065|'150\70'|'Зависимая'|1||
24|'2- й Рабфаковский  пер.'|7|1||'12_000024'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||340,4|'Д'|189,16|'Д'|161,08|'Д'|131,47|'Д'|85,57|'Д'|48,5|'Д'|8,71|'Д'|27,98|'Д'|39,73|'Д'|107,28|'Д'|123,79|'Д'|153,88|'Д'|1417,55|0,40358|'150\70'|'Зависимая'|1||
25|'2- й Рабфаковский  пер.'|7|2||'12_000025'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Закрытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'нет'||'есть'|'нет'|'2-х трубн.'|||||75,97|'Р'|74,61|'Д'|75,97|'Р'|55,02|'Д'|44,53|'Д'|1,45|'Д'|0|'Д'|0|'Д'|0|'Д'|68,94|'Д'|71,98|'Д'|94,83|'Д'|563,3|0,27333|'150\70'|'Зависимая'|1||
26|'2- й Рабфаковский  пер.'|8|||'12_000026'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||150,48|'Д'|141,34|'Д'|135,99|'Д'|105,3|'Д'|68,06|'Д'|35,05|'Д'|3,39|'Д'|20,94|'Д'|27,3|'Д'|67,42|'Д'|76,67|'Д'|100,67|'Д'|932,61|0,27846|'150\70'|'Зависимая'|1||
27|'2- й Рабфаковский  пер.'|9|1||'12_000027'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||239,4|'Д'|247,71|'Д'|204,32|'Д'|152,24|'Д'|92,2|'Д'|55,39|'Д'|9,01|'Д'|32,36|'Д'|38,55|'Д'|108,94|'Д'|118,84|'Д'|161,83|'Д'|1460,79|0,40267|'150\70'|'Зависимая'|1||
28|'2- й Рабфаковский  пер.'|10|||'12_000028'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||151,65|'Д'|131,18|'Д'|121,49|'Д'|101,56|'Д'|67,33|'Д'|37,78|'Д'|7,68|'Д'|23,66|'Д'|28,58|'Д'|77,75|'Д'|87,83|'Д'|111,98|'Д'|948,47|0,28287|'150\70'|'Зависимая'|1||
29|'2- й Рабфаковский  пер.'|11|||'12_000029'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||161,9|'Р'|157,02|'Д'|161,9|'Р'|158,45|'Д'|88,57|'Д'|56,06|'Д'|28,87|'Д'|31,31|'Д'|33,11|'Д'|132,5|'Д'|149,13|'Д'|126,32|'Д'|1285,14|0,40688|'150\70'|'Зависимая'|1||
30|'2- й Рабфаковский  пер.'|13|||'12_000030'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||154,61|'Р'|195,01|'Д'|186,27|'Д'|144,26|'Д'|91,96|'Д'|52,08|'Д'|9,54|'Д'|29,81|'Д'|38,68|'Д'|104,68|'Д'|119,31|'Д'|154,08|'Д'|1280,29|0,40688|'150\70'|'Зависимая'|1||
31|'2- й Рабфаковский  пер.'|14|||'12_000031'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||91,7|'Д'|123,16|'Д'|121,48|'Д'|99,68|'Д'|60,97|'Д'|33,52|'Д'|6,85|'Д'|21,63|'Д'|27,54|'Д'|76,86|'Д'|89,41|'Д'|114,04|'Д'|866,84|0,28979|'150\70'|'Зависимая'|1||
32|'2- й Рабфаковский  пер.'|18|||'12_000032'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'да'||'есть'|'нет'|'2-х трубн.'|||||161,3|'Д'|156,46|'Р'|160,21|'Р'|156,4|'Д'|88,82|'Д'|48,86|'Д'|25,4|'Д'|36,94|'Д'|31,15|'Д'|124,48|'Д'|127,81|'Д'|115,11|'Д'|1232,94|0,52824|'150\70'|'Зависимая'|1||
33|'2- й Рабфаковский  пер.'|22|||'12_000033'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Открытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|0|'Зависимая'|||'120\70'|'да'||'нет'|'нет'|'2-х трубн.'|||||115,17|'Р'|113,06|'Р'|114,08|'Р'|110,8|'Р'|43,17|'Р'|4,73|'Р'|1,48|'Р'|20,04|'Р'|2,81|'Р'|82,21|'Р'|82,21|'Р'|0|'Р'|689,76|0,37553|'150\70'|'Зависимая'|1||
34|'2- й Рабфаковский  пер.'|17|2||'12_000034'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Закрытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'нет'||'есть'|'нет'|'2-х трубн.'|||||96,33|'Д'|85,63|'Д'|85,43|'Д'|63,83|'Д'|0|'Д'|0|'Д'|49,23|'Д'||'Д'||'Д'|49,2|'Д'|57,86|'Д'|198,67|'Д'|686,18|0,23112|'150\70'|'Зависимая'|1||
35|'2- й Рабфаковский  пер.'|17|4||'12_000035'|'"ООО ""УК Евротракт"""'|'"ГУП ""ТЭК СПб"""'|'ИТП'|'Закрытая'|'"ООО ""УК Евротракт"""'|'Отопление'|'Гкал'|1|'Зависимая'|||'120\70'|'нет'||'есть'|'нет'|'2-х трубн.'|||||99,36|'Д'|94,42|'Д'|88,87|'Д'|66,29|'Д'|0|'Д'|0|'Д'|0|'Д'||'Д'||'Д'|39,56|'Д'|52,72|'Д'|78,45|'Д'|519,67|0,23112|'150\70'|'Зависимая'|1||
36|'2- й Рабфаковский  пер.'|17|3||'12_000036'|'"ООО ""Жилкомсервис №1 Невского района"""'|||||'Отопление'|'Гкал'|1|'Зависимая'|||'95/70'|'да'||'есть'||'2-х трубн.'||||'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'|'н/д'||'95/70'|'Зависимая'|1||
