||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
27|'05_000027'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||577,3536|599,8|152,66|'Д'|115,62|'Д'|128,04|'Д'|54,55|'Д'|23,8|'Д'|0||0||0||0||85,14|'Д'|58,08|'Д'|69|'Д'|686,89|||'зависимая'|1||1
28|'05_000028'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||479,8777|354,37|46,74|'Дср'|43,428|'Дср'|71,61|'Дср'|44,076|'Дср'|42,642|'Дср'|0||0||0||0||45,64|'Д'|25,57|'Д'|44,71|'Д'|364,42|||'зависимая'|1||1
29|'05_000029'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||505,402216|589,64|109,18|'Д'|94,74|'Д'|118,8|'Д'|57,09|'Д'|17,67|'Д'|0||0||0||0||67,38|'Д'|52,46|'Д'|86,09|'Д'|603,41|||'зависимая'|1||1
30|'05_000030'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||724,5147|493,88|52,65|'Дср'|59,352|'Дср'|209,3|'Д'|65,33|'Д'|8,32|'Д'|0||0||0||0||65,71|'Д'|70,51|'Д'|98,17|'Д'|629,34|||'зависимая'|1||1
31|'05_000031'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||526,927088|533,16|99,83|'Д'|77,6|'Д'|72,522|'Д'|49,87|'Д'|11,64|'Д'|0||0||0||0||56,11|'Д'|51,55|'Д'|67,74|'Д'|486,86|||'зависимая'|1||1
32|'05_000032'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||789,5939|780,13|75,97|'Дср'|70,776|'Дср'|71,742|'Дср'|71,64|'Дср'|69,894|'Дср'|0||0||0||0||89,68|'Д'|85,62|'Д'|115,99|'Д'|651,31|||'зависимая'|1||1
33|'05_000033'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||498,5277|382,05|102,36|'Д'|47,046|'Д'|86,34|'Д'|54,22|'Д'|15,39|'Д'|0||0||0||0||64,92|'Д'|51,54|'Д'|76,68|'Д'|498,5|||'зависимая'|1||1
34|'05_000034'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||859,655|701,56|64,81|'Дср'|66,39|'Дср'|53,898|'Д'|132,92|'Д'|17,94|'Д'|0||0||0||0||111,56|'Д'|99,6|'Д'|136,71|'Д'|683,83|||'зависимая'|1||1
35|'05_000035'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||491,8212|389,68|76,84|'Дср'|45,93|'Дср'|97,57|'Д'|65,27|'Д'|14,36|'Д'|0||0||0||0||55,69|'Д'|53,21|'Д'|77,84|'Д'|486,71|||'зависимая'|1||1
36|'05_000036'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||847,1977|787,25|168,73|'Д'|93,318|'Д'|92,89|'Д'|93,6|'Д'|17,45|'Д'|0||0||0||0||91,47|'Д'|83,59|'Д'|115,04|'Д'|756,09|||'зависимая'|1||1
37|'05_000037'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||856,8781|703,5|161,81|'Д'|90,336|'Д'|152,97|'Д'|99,79|'Д'|21,36|'Д'|0||0||0||0||86,28|'Д'|88,67|'Д'|121,09|'Д'|822,31|||'зависимая'|1||1
