1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
47||'Дачное'|'Ветеранов пр.'|51|'А'||5000047|'орг-ия с гос. участием'||'кирпичный'||1970|'кирпичные'|12|0|2|84|4506.9|4506.9|4213.7|293.2|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|2|2|0|1|1|0
48||'Дачное'|'Ветеранов пр.'|59|'А'||5000048|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|5|50|2474.4|2474.4|2456.2||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
49||'Дачное'|'Ветеранов пр.'|61|'А'||5000049|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|5|50|2457.21|2457.21|2457.21||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
50||'Дачное'|'Ветеранов пр.'|63|'А'||5000050|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|5|50|2465.61|2465.61|2465.61||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
51||'Дачное'|'Ветеранов пр.'|65|'А'||5000051|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|5|50|2461.6|2461.6|2461.6||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
52||'Дачное'|'Ветеранов пр.'|67|'А'||5000052|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|7|70|3191.16|3191.16|3191.16||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
53||'Дачное'|'Ветеранов пр.'|67|'2 А'||5000053|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|7|70|3165.74|3165.74|3165.74||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
54||'Дачное'|'Ветеранов пр.'|67|'3 А'||5000054|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|7|70|3186.69|3186.69|3186.69||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
55||'Дачное'|'Ветеранов пр.'|67|'4 А'||5000055|'орг-ия с гос. участием'||'хрущевка'|'другое'|1967|'панельные'|5|0|7|70|3179.51|3179.51|3179.51||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
56||'Дачное'|'Ветеранов пр.'|71|'А'||5000056|'орг-ия с гос. участием'||'кирпичный'|'1-528КП-40'|1970|'кирпичные'|9|0|1|45|2085.95|2085.95|1981.05|104.9|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|1|1|1|0
57||'Дачное'|'Ветеранов пр.'|71|'2 А'||5000057|'орг-ия с гос. участием'||'кирпичный'|'1-528КП-40'|1968|'кирпичные'|9|0|1|45|2087.74|2087.74|1982.84|104.9|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|1|1|1|0
58||'Дачное'|'Ветеранов пр.'|71|'3 А'||5000058|'орг-ия с гос. участием'||'кирпичный'|'1-528КП-40'|1968|'кирпичные'|9|0|1|45|2071.16|2071.16|1967.46|103.7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|1|1|1|0
59||'Дачное'|'Ветеранов пр.'|71|'4 А'||5000059|'орг-ия с гос. участием'||'кирпичный'|'1-528КП-40'|1969|'кирпичные'|9|0|1|45|2074.23|2074.23|1970.13|104.1|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|1|1|1|0
60||'Дачное'|'Ветеранов пр.'|71|'5 А'||5000060|'орг-ия с гос. участием'||'кирпичный'|'1-528КП-40'|1969|'кирпичные'|9|0|1|45|2085.66|2085.66|1981.56|104.1|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|1|2|1|1|1|0
61||'Ульянка'|'Ветеранов пр.'|110|'А'||5000061|'орг-ия с гос. участием'||'индивидуальный'|'индивидуальный'|1973|'кирпичные'|9|0|9|280|16240.46|16240.46|13948.46|2292|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|9|2|2|2|2|0
