1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
46|'Кронштадтский'||'Восстания, ул.'|'д. 80'|||'09_000046'|'ЖК'||'индивидуальный'|'индивидуальный'|1977|'кирпичные'|5||8|142|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
47|'Кронштадтский'||'Восстания, ул.'|'д.10/4'|||'09_000047'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|60|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
48|'Кронштадтский'||'Восстания, ул.'|'д.34'|||'09_000048'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|2||1|8|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
49|'Кронштадтский'||'Восстания, ул.'|'д.72'|'а'||'09_000049'|'ЖК'||'индивидуальный'|'индивидуальный'|1979|'кирпичные'|9||1|72|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
50|'Кронштадтский'||'Восстания, ул.'|'д.76'|||'09_000050'|'ЖК'||'индивидуальный'|'индивидуальный'|1972|'кирпичные'|5||2|36|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
51|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 13'|'А'||'09_000051'|'ЖК'||'индивидуальный'|'индивидуальный'|1958|'кирпичные'|4||3|43|2800||2800||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
52|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 18'|||'09_000052'|'ЖК'||'индивидуальный'|'индивидуальный'|1973|'кирпичные'|5||2|40|1973||1885||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
53|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 5'|'А'||'09_000053'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||4|44|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
54|'Кронштадтский'||'Всеволода Вишневского ул'|'д. 7/20'|'А'||'09_000054'|'ЖК'||'индивидуальный'|'индивидуальный'|1922|'кирпичные'|3||4|25|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
55|'Кронштадтский'||'Всеволода Вишневского ул'|'д.20/20'|||'09_000055'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||5|86|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
56|'Кронштадтский'||'Гидростроителей ул'|'д. 10'|||'09_000056'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|'1/14,2/10,3/10,4/8,5/8.6/9'||6|251|15188||||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|9|||||
57|'Кронштадтский'||'Гидростроителей ул'|'д. 4'|||'09_000057'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|'1/11,2/9,3/9,4/8'||4|183|||||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|5|||||
58|'Кронштадтский'||'Гидростроителей ул'|'д. 6'|||'09_000058'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|'1/8,2/8,3/9,              4/11,5/11'||5|187|||||'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|7|||||
59|'Кронштадтский'||'Гражданская ул'|'д. 10'|||'09_000059'|'ЖК'||'индивидуальный'|'индивидуальный'|1965|'кирпичные'|5||2|40|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
60|'Кронштадтский'||'Гражданская ул'|'д. 11'|||'09_000060'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|14|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
61|'Кронштадтский'||'Гражданская ул'|'д. 15'|||'09_000061'|'ЖК'||'индивидуальный'|'индивидуальный'|1900|'кирпичные'|3||2|15|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
62|'Кронштадтский'||'Гражданская ул'|'д. 17/13'|||'09_000062'|'ЖК'||'индивидуальный'|'индивидуальный'|1900|'кирпичные'|3||2|14|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
63|'Кронштадтский'||'Гражданская ул'|'д. 18'|||'09_000063'|'ЖК'||'индивидуальный'|'индивидуальный'|1958|'кирпичные'|4||3|27|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
64|'Кронштадтский'||'Гражданская ул'|'д. 20/22'|||'09_000064'|'ЖК'||'индивидуальный'|'индивидуальный'|1900|'кирпичные'|3||2|27|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
65|'Кронштадтский'||'Гражданская ул'|'д. 21'|||'09_000065'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|60|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
66|'Кронштадтский'||'Гражданская ул'|'д. 23'|||'09_000066'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|2||1|9|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
67|'Кронштадтский'||'Гражданская ул'|'д. 25'|||'09_000067'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||1|12|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
68|'Кронштадтский'||'Гражданская ул'|'д. 7'|||'09_000068'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||3|18|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
