1||3|||6|||9||11|12||||||||20|21|22|23||25||27||29||31||33||35||37||39||41||43||45||47||||51|52
43|'09_000043'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||731.15|764.968|112.1||101.86||99.86||72.46||43.16||11.93||8.41||12.33||12.64||57.25||62.07||82.29|||0.27534||'зависимая'|1|
44|'09_000044'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||827.61|872.993|141.09||156.12||148.34||93.03||52.9||18.52||10.05||14.18||17.85||72.06||78.99||104.53|||0.35079||'зависимая'|1|
45|'09_000045'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||858.26|904.1525|147.77||135.05||130.47||97.57||58.58||16.08||10.97||16.53||19.17||77.79||86.59||121.28|||0.39109||'зависимая'|1|
46|'09_000046'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|2|'центральная'|||'150/70'|'да'||||'элеватор'|||2067.15|2170.2025|340.39||308.55||292.89||238.33||134.84||30.42||21.23||33.58||45.2||168.96||197.3||249.36|||0.75147||'зависимая'|1|
47|'09_000047'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||789.06|829.2675|134.47||123.12||114.87||92.23||53.32||12.64||8.01||11.93||14.79||68.64||73.99||96.14|||0.27472||'зависимая'|1|
48|'09_000048'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||102.94|106.6725|9.09||9.12||8.97||8.96||4.54||1.32||1.56||1.91||2.5||8.66||8.97||9.05|||0.03839||'зависимая'||
49|'09_000049'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||888.71|930.71|132.44||122.32||129.75||90.35||55.83||14.72||10.74||13.61||17.23||70.02||80.16||102.83|||0.383582||'зависимая'|1|
50|'09_000050'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'||'центральная'|||'150/70'|'да'||||'элеватор'|||428.85|452.252|75.52||68.88||66.68||49.53||29.94||8.32||5.82||8.66||9.66||39.32||44||61.71|||0.20129||'зависимая'||
51|'09_000051'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||758.26|788.215|81.12||83.49||77.82||63.54||38.37||12.33||8.07||10.42||13.48||58.16||82.55||69.75|||0.34847||'зависимая'|1|
52|'09_000052'|'ГУП ТЭК СПб'|'ИТП'|'открытая'|'УК'|'отопление'|'Гкал'|1|'центральная'|||'150/70'|'да'||||'элеватор'|||520.02|544.1005|63.14||77.13||74.61||55.93||32.82||8.55||4.61||6.7||7.57||41.05||48.03||61.47|||0.21345||'зависимая'|1|
