|||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
|||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1||2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
50|'Гражданская ул'|'д. 21'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||471,38||||||||||||||||||||||||||||||
51|'Гражданская ул'|'д. 23'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||224,12||||||||||||||||||||||||||||||
52|'Гражданская ул'|'д. 25'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||136,29||||||||||||||||||||||||||||||
53|'Гражданская ул'|'д. 7'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||266,51||||||||||||||||||||||||||||||
54|'Гражданская ул'|'д. 9'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||247,98||||||||||||||||||||||||||||||
55|'Гусева ул'|'д. 1'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||147,63||||||||||||||||||||||||||||||
56|'Гусева ул'|'д. 11, лит. Б'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||329,65||||||||||||||||||||||||||||||
57|'Гусева ул'|'д. 3'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||298,45||||||||||||||||||||||||||||||
58|'Гусева ул'|'д. 4'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||159,58||||||||||||||||||||||||||||||
59|'Гусева ул'|'д. 5'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||506,11||||||||||||||||||||||||||||||
