||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
176|'16_0176'|'"ГНУ ГНЦ РФ ""ВИР"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||27,23||27,23||27,23||27,23||27,18||0||0||0||0||26,3703||26,3703||26,3703||215,2109|'0.13700'||||
177|'16_0177'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
178|'16_0178'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
179|'16_0179'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
180|'16_0180'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
181|'16_0181'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
182|'16_0182'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
183|'16_0183'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
184|'16_0184'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
185|'16_0185'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
186|'16_0186'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
187|'16_0187'||||||||||||'нет'||||||||||||||||||||||||||||||||||||||
188|'16_0188'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||4,3962||4,3962||4,3962||4,3952||1,26||0||0||0||0||4,1515||4,078||4,1413||31,2146|'0.02320'||||
189|'16_0189'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||11,0784||11,0784||11,0784||11,0759||3,19||0||0||0||0||10,3265||10,1436||10,3011||78,2723|'0.06050'||||
190|'16_0190'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||6,4776||6,4776||6,4776||6,4761||1,86||0||0||0||0||5,8497||5,7461||5,8353||45,2|'0.04890'||||
191|'16_0191'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||3,6162||3,6162||3,6162||3,6154||1,04||0||0||0||0||3,503||3,441||3,4944||25,9424|'0.01450'||||
192|'16_0192'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||'нет'|||||||||3,1398||3,1398||3,1398||3,1391||0,9||0||0||0||0||3,0907||3,036||3,0831||22,6683|'0.01260'||||
